"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,135,"MWI","Malawi",1,"Balaka","District","District",NA,NA
2,135,"MWI","Malawi",2,"Blantyre","District","District",NA,NA
3,135,"MWI","Malawi",3,"Chikwawa","District","District",NA,NA
4,135,"MWI","Malawi",4,"Chiradzulu","District","District",NA,NA
5,135,"MWI","Malawi",5,"Chitipa","District","District",NA,NA
6,135,"MWI","Malawi",6,"Dedza","District","District",NA,NA
7,135,"MWI","Malawi",7,"Dowa","District","District",NA,NA
8,135,"MWI","Malawi",8,"Karonga","District","District",NA,NA
9,135,"MWI","Malawi",9,"Kasungu","District","District",NA,NA
10,135,"MWI","Malawi",10,"Likoma","District","District",NA,"<Null>"
11,135,"MWI","Malawi",11,"Lilongwe","District","District",NA,NA
12,135,"MWI","Malawi",12,"Machinga","District","District",NA,"Kasupe|Kasupi|Liwonde"
13,135,"MWI","Malawi",13,"Mangochi","District","District",NA,"Mangoche|Fort Johnston"
14,135,"MWI","Malawi",14,"Mchinji","District","District",NA,"Fort Manning"
15,135,"MWI","Malawi",15,"Mulanje","District","District",NA,"Mlange|Mlanje"
16,135,"MWI","Malawi",16,"Mwanza","District","District",NA,NA
17,135,"MWI","Malawi",17,"Mzimba","District","District",NA,NA
18,135,"MWI","Malawi",18,"Neno","District","District",NA,NA
19,135,"MWI","Malawi",19,"Nkhata Bay","District","District",NA,"Chinteche"
20,135,"MWI","Malawi",20,"Nkhotakota","District","District",NA,"Kota Kota"
21,135,"MWI","Malawi",21,"Nsanje","District","District",NA,"Port Herald"
22,135,"MWI","Malawi",22,"Ntcheu","District","District",NA,"Ncheu"
23,135,"MWI","Malawi",23,"Ntchisi","District","District",NA,"Nchisi"
24,135,"MWI","Malawi",24,"Phalombe","District","District",NA,NA
25,135,"MWI","Malawi",25,"Rumphi","District","District",NA,"Rumpi"
26,135,"MWI","Malawi",26,"Salima","District","District",NA,NA
27,135,"MWI","Malawi",27,"Thyolo","District","District",NA,"Cholo"
28,135,"MWI","Malawi",28,"Zomba","District","District",NA,NA
