County;Subcounty;Ward
;Kilimani;Amukura West
;Kilome;Amukura East
;Kimilili;Amukura Central
;Kiminini;Nambale
;Kinango;Bukhayo North/Walatsi
;Kinangop;Bukhayo East
;Kwanza;Bukhayo Central
;Kipipiri;Bukhayo West
;Kipkelion East;Mayenje
;Kipkelion West;Matayos South
;Kirinyaga Central;Busibwabo
;Kisauni;Burumba
;Kisumu Central;Marachi West
;Kisumu East;Kingandole
;Kisumu West;Marachi Central
;Kitui Central;Marachi East
;Kitui East;Marachi North
;Kuresoi South;Elugulu
;Kitui Rural;Namboboto/Nambuku
;Kitui South;Nangina
;Kitui West;Ageng'a Nanguba
;Kitutu Chache North;Bwiri
;Kitutu Chache South;Bunyala Central
;Kitutu Masaba;Bunyala North
;Konoin;Bunyala West
;Kuresoi North;Bunyala South
;Kuria West;Kapyego
;Lafey;Sambirir
;Lagdera;Endo
;Laikipia East;Embobut/Embulot
;Lamu West;Lelan
;Lari;Sengwer
;Likoni;Cheragany/Chebororwa
;Laikipia North;Moiben/Kuserwo
;Laikipia West;Kapsowar
;Laisamis;Arror
;Lamu East;Kimariny
;Langata;Emsoo
;Likuyani;Tambach
;Loima;Kapchemutwa
;Luanda;Kaptarakwa
;Lugari;Chepkorio
;Lunga Lunga;Soy North
;Lurambi;Soy South
;Maara;Kabiemit
;Machakos Town;Metkei
;Magarini;Ruguru-Ngandori
;Makadara;Kithimu
;Makueni;Nginda
;Malava;Mbeti North
;Malindi;Kirimani
;Mandera East;Gaturi South
;Marakwet West;Gaturi North
;Mandera North;Kagaari South
;Mandera South;Central
;Mandera West;Kagaari North
;Manyatta;Kyeni North East
;Maragwa;Kyeni South
;Marakwet East;Mwea
;Mukurweni;Makima
;Masinga;Mbeti South
;Matayos;Mavuria
;Mathare;Kiambere
;Mathioya;Nthawa
;Mathira;Muminji
;Matuga;Evurore
;Matungu;Township
;Matungulu;Galbet
;Mavoko;Township
;Mbooni;Township
;Mogotio;Balambala
;Moiben;Danyere
;Molo;Jarajara
;Mosop;Saka
;Mwea;Sankuri
;Saboti;Modogashe
;Moyale;Benane
;Msambweni;Goreale
;Mt. Elgon;Maalamin
;Muhoroni;Sabena
;Mumias East;Baraki
;Mumias West;Dertu
;Mvita;Dadaab
;Mwala;Labisigale
;Mwatate;East Gem
;Saku;Bula Pesa
;Mwingi East;Damajale
;Mwingi North;Liboi
;Mwingi West;Abakaile
;Naivasha;Bura
;Nakuru Town East;Dekaharia
;Nakuru Town West;Jarajila
;Nambale;Fafi
;Nandi Hills;Nanighi
;Narok East;Hulugho
;Narok North;Kagan
;Njoro;Sangailu
;Narok South;Ijara
;Narok West;Masalani
;Navakholo;West Kasipul
;Ndaragwa;South Kasipul
;Ndhiwa;Central Kasipul
;Ndia;East Kamagak
;Nithi;West Kamagak
;Sabatia;Kabondo East
;North Horr;Kabondo West
;North Imenti;Kokwanyo/Kakelo
;North Mugirango;Kojwach
;Nyakach;West Karachuonyo
;Nyali;North Karachuonyo
;Nyando;Central
;Nyaribari Chache;Kanyaluo
;Nyaribari Masaba;Kibiri
;Nyatike;Wang'chieng
;Nyeri Town;Kendu Bay Town
;Ol Jorok;West Gem
;Ol Kalou;Kochia
;Othaya;Homa Bay Central
;Pokot South;Homa Bay Arujo
;Rabai;Homa Bay West
;Rangwe;Homa Bay East
;Rarieda;Kwabwai
;Rongai;Kanyadoto
;Rongo;Kanyikela
;Roysambu;Kabuoch North
;Ruaraka;Kabuoch/Pala
;Ruiru;Kanyamwa Kologi
;Runyenjes;Kanyamwa Kosewe
;Samburu East;Mfangano Island
;Samburu North;Rusinga Island
;Samburu West;Kasgunga
;Seme;Gembe
;Shinyalu;Lambwe
;Subukia;Gwassi South
;Siakago;Gwassi North
;Sigor;Kaksingiri West
;Sigowet/Soin;Kaksingiri East
;Sirisia;Chari
;Sotik;Cherab
;South Imenti;Ngare Mara
;South Mugirango;Burat
;Soy;Oldonyiro
;Starehe;Garbatulla
;Suba North;Kinna
;Suba South;Kisa North
;Suna East;Sericho
;Suna West;Olkeri
