name;pcode;pcode_parent;% adaptive pop. (15-34);Land area;Violent incidents last year;% poor cooking fuel;% primary or higher education;% secondary or higher education;% unemployed;% strong floor type;Gini Index;Drought exposure;Flood exposure;Tsunami exposure;% poor lighting;Population density;Population;Poverty incidence;% strong roof type;% improved sanitation;Travel time to nearest city;% population 65+;% population U5;% strong wall type;% improved water source;Nr. of educational facilities per 10,000 people;Nr. of health facilities per 10,000 people;Total river length;pcode_level2;Violent incidents last year (0-10);Drought exposure (0-10);Flood exposure (0-10);Tsunami exposure (0-10);Hazards exposure;% unemployed (0-10);Gini Index (0-10);% poor lighting (0-10);Poverty incidence (0-10);% population U5 (0-10);Vulnerability;% primary or higher education (0-10);% strong roof type (0-10);% improved sanitation (0-10);Travel time to nearest city (0-10);% strong wall type (0-10);% improved water source (0-10);Nr. of educational facilities per 10,000 people (0-10);Nr. of health facilities per 10,000 people (0-10);Lack of Coping Capacity;Risk score
Ainabkoi;KE027144;KE027;0.3701;477.2456;8.7164;0.9314;0.8321;0.2936;0.0531;0.4521;0.3137;0.4395;0;0;0.0138;240.3929;114726.4171;0.3583;0.9028;0.74;66.2062;0.035;0.177;0.3201;0.7461;0.958802714112479;3.57371920714651;209.287440026225;KE027144;8.0055;7.5816;0;0;5.0459;8.8922;3.6296;0.1042;3.1926;4.3822;4.8352;1.0156;0.9753;2.5438;5.4517;6.8122;2.2757;6.9743;6.1093;4.445;4.7802
Ainamoi;KE035190;KE035;0.4018;235.0925;5.5302;0.9544;0.8621;0.2952;0.0595;0.5453;0.3103;0.0579;0;0;0.0108;769.1605;180823.9929;0.2575;0.8964;0.784;164.9515;0.026;0.1782;0.3477;0.5628;0.608326352451094;2.15679343141752;124.104125071357;KE035190;7.6041;1.6537;0;0;3.1117;8.6812;3.5486;0.0723;2.0042;4.4743;4.539;0.6609;1.0401;2.0879;7.0284;6.5326;4.2379;8.0803;7.8049;5.3446;4.3934
Aldai;KE029152;KE029;0.3262;461.3853;0;0.9935;0.8176;0.1705;0.0241;0.1981;0.2828;0.1777;0;0;0.0101;394.9948;182244.7755;0.436;0.8488;0.7882;181.002;0.0409;0.1969;0.2288;0.2489;1.59126646678549;1.37178143688404;210.950619408485;KE029152;0;4.9236;0;0;1.5127;9.8483;2.8932;0.0649;4.1087;5.9094;5.8128;1.187;1.5217;2.0443;7.1888;7.7374;7.5979;4.9784;8.7443;5.8553;4.6695
Alego Usonga;KE041234;KE041;0.3106;605.4655;7.8458;0.9884;0.7808;0.1521;0.0563;0.2993;0.3639;0.1867;0.0037;0;0.0114;421.0217;254914.1187;0.3995;0.6286;0.4828;184.3822;0.059;0.1952;0.3337;0.3933;0.666891269029468;2.23604719615763;196.20157708984;KE041234;7.9127;5.0684;3.0697;0;4.6647;8.7867;4.826;0.0787;3.6784;5.779;5.3425;1.6221;3.7495;5.2088;7.2208;6.6744;6.0522;7.8955;7.7101;6.1062;5.4016
Awendo;KE044254;KE044;0.3439;256.8403;0;0.9631;0.821;0.1872;0.0803;0.3616;0.3919;0.2304;0.0017;0;0.0109;540.2923;138768.8376;0.3862;0.9535;0.6235;235.4565;0.0282;0.2292;0.4067;0.3527;1.08093432658125;1.94568178784625;119.122740197961;KE044254;0;5.685;1.9702;0;2.2651;7.9954;5.4933;0.0734;3.5216;8.3883;5.8601;1.1468;0.4624;3.7509;7.6431;5.9347;6.4868;6.5888;8.0575;5.5649;4.7481
Bahati;KE032174;KE032;0.347;295.8928;0;0.9479;0.8426;0.3034;0.0946;0.5331;0.3025;0.085;0;0;0.0256;500.9049;148214.1263;0.3206;0.9923;0.699;87.8708;0.0385;0.1697;0.5335;0.6839;1.61927885018469;3.17108774827836;57.0630565999073;KE032174;0;2.7689;0;0;0.7683;7.5239;3.3627;0.2296;2.7482;3.8219;3.9803;0.8915;0.0698;2.9686;5.9406;4.6499;2.9416;4.89;6.5911;3.9326;3.0213
Balambala;KE007028;KE007;0.3393;4907.7478;0;0.9905;0.1126;0.015;0.1721;0.0247;0.3055;0.5257;0.0003;0;0.3043;11.5037;56457.1186;0.6561;0.0421;0.0551;225.8233;0.0223;0.1719;0.0577;0.125;0;3.01113489299053;409.02034372431;KE007028;0;8.1082;0.5204;0;3.1953;4.9687;3.4342;3.1926;6.7036;3.9908;4.5983;9.5223;9.6833;9.6405;7.5709;9.4711;8.9242;10;6.7825;9.1674;6.4663
Banissa;KE009040;KE009;0.2678;3359.7277;12.7174;0.9949;0.2507;0.0259;0.1522;0.0226;0.2352;0.1746;0.0005;0;0.608;23.4044;78632.3722;0.8615;0.0969;0.0975;854.792;0.0171;0.179;0.0309;0.04;0;1.78043719320977;207.122732309284;KE009040;8.3388;4.872;0.8043;0;4.4398;5.6248;1.7588;6.4214;9.1252;4.5357;6.1056;7.8896;9.1289;9.2011;9.8701;9.7426;9.8341;10;8.2553;9.3713;7.2381
Budalangi;KE040231;KE040;0.3284;184.629;12.7849;0.9911;0.7554;0.1506;0.0933;0.284;0.3506;0.1854;0.0322;0;0.0077;423.6446;78217.0543;0.649;0.6495;0.2949;183.7731;0.046;0.2146;0.3009;0.5551;0.511397423018447;1.27849355754612;27.3389816010614;KE040231;8.3435;5.0479;6.9475;0;5.8326;7.5668;4.5091;0.0393;6.6199;7.2678;5.7396;1.9224;3.538;7.1557;7.215;7.0068;4.3203;8.3862;8.8559;6.5612;6.0582
Baringo Central;KE030159;KE030;0.3404;596.4153;0;0.9792;0.8311;0.2787;0.1375;0.4653;0.3446;0.3741;0.0001;0;0.1139;164.2042;97933.9066;0.4605;0.8503;0.6828;185.3833;0.0392;0.176;0.2177;0.2903;0;4.18649693690459;412.121184759253;KE030159;0;7.1081;0.1891;0;2.5397;6.1095;4.3661;1.1684;4.3975;4.3054;4.2391;1.0274;1.5065;3.1365;7.2301;7.8498;7.1548;10;5.376;6.3908;4.5843
Baringo North;KE030158;KE030;0.3097;1701.1582;0;0.9943;0.7802;0.1839;0.1116;0.2232;0.2808;0.3472;0.0018;0;0.2524;73.5193;125067.8747;0.5873;0.5759;0.5258;260.2632;0.0459;0.1866;0.1335;0.156;0.159913167572179;3.67800285416012;555.483145060253;KE030158;0;6.8889;2.0423;0;2.8193;6.9634;2.8456;2.6409;5.8925;5.119;4.9221;1.6292;4.2827;4.7632;7.8161;8.703;8.5924;9.4954;5.9845;7.0923;5.2029
Baringo South;KE030160;KE030;0.3209;1879.2293;0;0.9909;0.7135;0.135;0.0975;0.2002;0.3091;0.2333;0.0021;0;0.2085;44.729;84055.9981;0.5252;0.6072;0.2984;234.9111;0.0321;0.2185;0.106;0.246;0.356904928724023;3.33111266809088;771.181410831069;KE030160;0;5.7217;2.2442;0;2.347;7.4283;3.52;2.1741;5.1603;7.5672;5.5604;2.4178;3.966;7.1195;7.6391;8.9817;7.629;8.8737;6.3996;7.0979;5.3099
