name;pcode;pcode_parent;% adaptive pop. (15-34);Land area;Violent incidents last year;% poor cooking fuel;% primary or higher education;% secondary or higher education;% unemployed;% strong floor type;Gini Index;Drought exposure;Flood exposure;Tsunami exposure;% poor lighting;Population density;Population;Poverty incidence;% strong roof type;% improved sanitation;Travel time to nearest city;% population 65+;% population U5;% strong wall type;% improved water source;Nr. of educational facilities per 10,000 people;Nr. of health facilities per 10,000 people;Total river length;pcode_level2;Violent incidents last year (0-10);Drought exposure (0-10);Flood exposure (0-10);Tsunami exposure (0-10);Hazards exposure;% unemployed (0-10);Gini Index (0-10);% poor lighting (0-10);Poverty incidence (0-10);% population U5 (0-10);Vulnerability;% primary or higher education (0-10);% strong roof type (0-10);% improved sanitation (0-10);Travel time to nearest city (0-10);% strong wall type (0-10);% improved water source (0-10);Nr. of educational facilities per 10,000 people (0-10);Nr. of health facilities per 10,000 people (0-10);Lack of Coping Capacity;Risk score
Belgut;KE035192;KE035;0.371;297.0011;0;0.9833;0.8631;0.2696;0.0358;0.4824;0.2994;0.0906;0;0;0.0144;528.915;157088.3288;0.3222;0.9263;0.7031;266.8756;0.0256;0.1796;0.4536;0.5276;1.1458521545584;2.67365502730294;216.387713861021;KE035192;0;2.9547;0;0;0.8264;9.4626;3.2888;0.1106;2.767;4.5817;5.1185;0.6491;0.7376;2.9261;7.8594;5.4595;4.6146;6.384;7.1864;4.9913;3.8859
Bobasi;KE045264;KE045;0.329;240.2221;0;0.9924;0.8359;0.2945;0.0294;0.1859;0.3441;0.1892;0;0;0.0146;1037.7717;249295.6807;0.539;0.8467;0.5885;300.7897;0.0363;0.2039;0.2491;0.4291;0;1.2435032935766;119.225797187488;KE045264;0;5.1073;0;0;1.5848;9.6736;4.3541;0.1127;5.323;6.4467;6.1906;0.9707;1.5429;4.1136;8.0661;7.5317;5.669;10;8.8978;6.8992;5.2883
Bomachoge Borabu;KE045263;KE045;0.3348;114.4267;0;0.9922;0.8326;0.283;0.0234;0.1952;0.3704;0.3491;0;0;0.0135;1202.0889;137550.9389;0.5692;0.8311;0.58;278.9299;0.0359;0.2066;0.2734;0.5442;0;0.94510441794778;59.5661257767421;KE045263;0;6.9049;0;0;2.3957;9.8714;4.9809;0.101;5.6791;6.6539;6.5263;1.0097;1.7007;4.2016;7.9358;7.2854;4.437;10;9.2549;6.8444;5.5661
Bomachoge Chache;KE045265;KE045;0.3346;106.201;0;0.9875;0.8176;0.2647;0.0388;0.1811;0.3583;0.2011;0;0;0.0152;1144.3982;121536.2672;0.5074;0.8756;0.6301;219.0501;0.0336;0.2067;0.2374;0.5585;0;1.06963956534443;57.6119075010485;KE045265;0;5.2861;0;0;1.6565;9.3637;4.6926;0.1191;4.9505;6.6616;6.0322;1.187;1.2505;3.6825;7.5183;7.6502;4.2839;10;9.1059;6.7229;5.1604
Bomet Central;KE036197;KE036;0.3562;258.0444;0;0.9849;0.8468;0.2183;0.0326;0.2707;0.313;0.0959;0;0;0.0153;572.0623;147617.4291;0.4694;0.8322;0.6551;284.1163;0.0308;0.1945;0.1756;0.2402;1.4903389218701;1.15162553053599;172.925433672769;KE036197;0;3.1205;0;0;0.879;9.5681;3.613;0.1201;4.5025;5.7252;5.7266;0.8418;1.6896;3.4235;7.9676;8.2764;7.6911;5.2969;9.0078;6.3209;4.6967
Bomet East;KE036196;KE036;null;313.4239;0;0.9938;0.8167;0.1559;0.0451;0.1221;0.3078;0.0976;0;0;0.0245;469.0693;147017.5512;0.5305;0.6576;0.6771;346.4129;null;null;0.1116;0.1815;1.7004772419512;1.22434361420486;171.37004326164;KE036196;0;3.1717;0;0;0.8955;9.156;3.489;0.2179;5.2228;null;5.5508;1.1977;3.4561;3.1955;8.31;8.9249;8.3194;4.6337;8.9208;6.691;4.8025
Bonchari;KE045261;KE045;0.334;124.7727;0;0.9823;0.7928;0.1992;0.0367;0.181;0.3392;0.2018;0.0001;0;0.0091;1036.4003;129314.4388;0.4831;0.9121;0.5994;222.4742;0.0309;0.2091;0.2035;0.6664;0.0773308850632892;1.46928681620249;71.4122247320567;KE045261;0;5.2963;0.1891;0;1.7011;9.4329;4.2374;0.0542;4.664;6.8457;5.9943;1.4803;0.8812;4.0006;7.5451;7.9937;3.1289;9.756;8.6276;6.4865;5.05
Bondo;KE041236;KE041;0.3504;571.6232;0;0.9848;0.8194;0.1792;0.0819;0.419;0.3941;0.2848;0.0023;0;0.0111;294.7315;168475.3939;0.3457;0.7976;0.4276;153.5596;0.038;0.2107;0.4656;0.1364;1.24647282439022;2.61165734634142;120.006817507796;KE041236;0;6.3071;2.3682;0;2.6253;7.9426;5.5458;0.0755;3.0441;6.9685;5.3218;1.1658;2.0397;5.7807;6.9048;5.3379;8.8022;6.0664;7.2606;5.9244;4.7714
Borabu;KE046273;KE046;0.3428;296.2046;0;0.9879;0.8456;0.3338;0.0281;0.3462;0.3575;0.3355;0;0;0.0107;489.6849;145046.9163;0.502;0.9472;0.6964;331.1407;0.0309;0.1895;0.3745;0.3373;2.13723950867775;2.89561481820856;152.307123473245;KE046273;0;6.7882;0;0;2.3358;9.7165;4.6735;0.0712;4.8868;5.3415;5.9792;0.856;0.5261;2.9955;8.2321;6.261;6.6517;3.2554;6.9208;5.0566;4.6266
Bumula;KE039219;KE039;0.3126;343.6072;0;0.9955;0.7964;0.1496;0.0296;0.1089;0.3387;0.1703;0;0;0.0155;571.6161;196411.3229;0.5054;0.5987;0.7;111.8626;0.0332;0.2258;0.2262;0.732;0;0.814616987165052;138.374248024068;KE039219;0;4.799;0;0;1.4648;9.667;4.2255;0.1223;4.9269;8.1274;6.5307;1.4377;4.052;2.9582;6.3576;7.7637;2.4267;10;9.4111;6.6925;5.3099
Bura;KE004020;KE004;0.3086;13200.0379;0;0.991;0.3225;0.0393;0.1479;0.118;0.581;0.1438;0.0026;0;0.1213;7.6995;101633.5689;0.7565;0.3167;0.1838;360.6274;0.0291;0.2477;0.1278;0.2265;1.18071225080964;1.37749762594458;1523.4777710225;KE004020;0;4.3039;2.5408;0;1.8987;5.7666;10;1.2471;7.8873;9.8081;8.1036;7.0407;6.9051;8.3069;8.3795;8.7608;7.8377;6.274;8.7375;7.8902;6.6423
Buret;KE035191;KE035;0.3538;320.1423;0;0.984;0.8567;0.2395;0.0291;0.266;0.3065;0.1378;0.0004;0;0.012;598.2748;191533.037;0.427;0.9205;0.6086;242.6808;0.0304;0.1911;0.2288;0.3427;1.25304753665284;1.93178161900646;116.911855888268;KE035191;0;4.1792;0.6674;0;1.388;9.6835;3.4581;0.0851;4.0026;5.4643;5.6549;0.7248;0.7962;3.9053;7.6953;7.7374;6.5939;6.0457;8.0742;5.8158;4.5618
Butere;KE037207;KE037;0.2996;206.6946;0;0.9901;0.7764;0.1501;0.0597;0.1307;0.3427;0.2785;0.0009;0;0.0146;811.0108;167631.5309;0.5181;0.7681;0.7791;79.6476;0.0442;0.2097;0.205;0.5986;0.775510426408419;1.19309296370526;101.939728395281;KE037207;0;6.2414;1.2731;0;2.3415;8.6746;4.3208;0.1127;5.0766;6.8918;5.7014;1.6742;2.3381;2.1386;5.7709;7.9785;3.8546;7.5527;8.9581;5.7418;4.772
Butula;KE040229;KE040;0.2954;243.6301;0;0.9955;0.7497;0.1213;0.0448;0.1544;0.3323;0.3223;0;0;0.0188;593.3777;144564.6233;0.6496;0.5328;0.5228;148.224;0.0456;0.215;0.2115;0.7308;0.760905382582628;1.45263754856684;91.6687968319558;KE040229;0;6.6703;0;0;2.2766;9.1658;4.0729;0.1573;6.627;7.2985;6.3052;1.9898;4.7187;4.7943;6.8437;7.9127;2.4395;7.5988;8.6476;6.1329;5.1543
Buuri;KE012057;KE012;0.3622;1076.4251;0;0.9767;0.8412;0.24;0.0496;0.4326;0.3254;0.6311;0;0;0.0313;159.8081;172021.4802;0.2773;0.9793;0.8589;146.5659;0.0463;0.1499;0.1409;0.7128;0.0581322750244151;3.66233332653815;790.379598767759;KE012057;0;8.6456;0;0;3.4852;9.0076;3.9085;0.2902;2.2377;2.3024;4.4807;0.908;0.2013;1.3118;6.8243;8.628;2.6322;9.8165;6.0032;5.7815;4.6519
Cental Imenti;KE012058;KE012;0.3453;683.1873;0;0.9863;0.8382;0.238;0.0315;0.4681;0.2555;0.3461;0;0;0.0194;224.1316;153123.9004;0.2308;0.9878;0.8713;226.3573;0.0636;0.143;0.1628;0.7181;0.0653065914665254;2.74287684159407;303.145016277251;KE012058;0;6.8796;0;0;2.3826;9.6044;2.2426;0.1637;1.6895;1.7728;4.4749;0.9435;0.1153;1.1833;7.575;8.4061;2.5755;9.7939;7.1035;5.9829;4.4388
Changamwe;KE001001;KE001;0.4776;14.5875;0;0.8833;0.8706;0.4159;0.1402;0.8493;0.3496;0.2216;0.0386;0;0.0102;13679.8146;199556.2404;0.3364;0.9716;0.8657;12.598;0.0124;0.1588;0.8342;0.5794;0.400889492865124;1.80400271789306;0;KE001001;0;5.5708;7.2971;0;3.9644;6.0204;4.4852;0.0659;2.9344;2.9854;3.5476;0.5604;0.2792;1.2413;2.5859;1.603;4.0602;8.7349;8.2271;4.3401;3.958
Chepalungu;KE036195;KE036;null;535.9177;0;0.9956;0.8098;0.1386;0.0434;0.0791;0.273;0.1472;0.0002;0;0.0159;346.4545;185671.1127;0.605;0.4719;0.6217;399.0791;null;null;0.1125;0.1225;0.915597464742784;1.77733625508893;260.518704133125;KE036195;0;4.3722;0.3616;0;1.3865;9.212;2.6597;0.1265;6.1012;null;5.6595;1.2793;5.3349;3.7696;8.5545;8.9158;8.951;7.1106;8.259;7.1745;5.1795
Cherangany;KE026140;KE026;0.3217;623.2476;0;0.9906;0.7927;0.2;0.0541;0.1888;0.2905;0.2171;0.0011;0;0.0169;348.2591;217051.6792;0.4289;0.9046;0.7967;121.7655;0.032;0.2036;0.2295;0.5544;1.10572745130934;1.56644722268824;200.587035566186;KE026140;0;5.5106;1.4717;0;2.0757;8.8592;3.0767;0.1371;4.025;6.4236;5.3056;1.4814;0.9571;1.9563;6.5041;7.7303;4.3278;6.5106;8.5114;5.4004;4.4201
Emuhaya;KE038215;KE038;0.2801;87.4375;8.4624;0.9912;0.8074;0.1665;0.0931;0.1365;0.3351;0.1153;0.0007;0;0.0218;1351.4743;118169.5325;0.5194;0.9517;0.7694;162.2871;0.0633;0.192;0.1935;0.626;0.676993454183803;1.26936272659463;52.2021329819056;KE038215;7.9794;3.6581;1.0525;0;3.9645;7.5734;4.1397;0.1892;5.092;5.5334;4.9271;1.3076;0.4806;2.2391;7.0003;8.095;3.5613;7.8636;8.8669;5.8025;4.9435
Chesumei;KE029154;KE029;0.3488;469.8723;0;0.9789;0.8267;0.2226;0.057;0.357;0.3052;0.1825;0;0;0.0101;314.9292;147976.5213;0.3206;0.9065;0.7982;126.9025;0.0384;0.1882;0.3458;0.3829;1.55430062893595;2.56797495215505;165.618855258188;KE029154;0;5.0017;0;0;1.5432;8.7636;3.4271;0.0649;2.7482;5.2417;4.8295;1.0795;0.9379;1.9407;6.5755;6.5518;6.1636;5.095;7.3128;4.9095;3.9144
Dadaab;KE007030;KE007;0.3589;6781.6949;0;0.9833;0.1792;0.0404;0.2833;0.1895;0.3415;0.0789;0.0024;0;0.6825;27.1658;184230.1021;0.6114;0.2684;0.1733;397.2355;0.0253;0.1761;0.1821;0.9535;0;1.03131897463032;163.247235950228;KE007030;0;2.5521;2.4274;0;1.3239;1.3023;4.2922;7.2135;6.1766;4.3131;4.9685;8.7349;7.3938;8.4157;8.5465;8.2106;0.0557;10;9.1517;8.2685;5.5618
Dagoretti;KE047276;KE047;0.4675;24.3925;0;0.7797;0.896;0.493;0.1087;0.9686;null;1;0;0;0.0094;9976.6241;243354.2705;0.2162;0.9975;0.8134;15.1571;0.0133;0.1563;0.3536;0.7832;0.493108256363765;4.02705076030408;16.3359689787007;KE047276;0;10;0;0;4.8629;7.059;null;0.0574;1.5173;2.7936;3.3791;0.2601;0.0172;1.7832;2.9053;6.4728;1.8786;8.4439;5.5668;4.1005;4.1405
Dujis;KE007027;KE007;0.408;686.9793;0;0.9216;0.561;0.2145;0.197;0.834;0.3565;0.3519;0.0015;0;0.1053;194.8315;133844.8816;0.4211;0.9211;0.7288;52.7067;0.0286;0.1663;0.8509;0.9587;0.373566769250293;6.5000617849551;34.9818460656962;KE007027;0;6.9284;1.8175;0;2.7879;4.1477;4.6497;1.077;3.933;3.561;3.5651;4.2209;0.7902;2.6598;5.0578;1.4338;0;8.8211;2.6074;3.8629;3.4184
Eldama Ravine;KE030162;KE030;0.3468;950.2919;0;0.9855;0.8273;0.2434;0.0664;0.4093;0.3202;0.2909;0;0;0.0304;143.6401;136499.9657;0.2847;0.8765;0.581;173.0123;0.0346;0.1825;0.197;0.4471;1.39194174211926;2.78388348423853;564.236561998261;KE030162;0;6.3693;0;0;2.1305;8.4537;3.7846;0.2807;2.3249;4.8043;4.602;1.0724;1.2414;4.1913;7.1108;8.0596;5.4763;5.6074;7.0545;5.4513;4.1948
Eldas;KE008037;KE008;0.2849;4076.55;0;0.9942;0.1925;0.0239;0.2246;0.0183;0.2688;0.1571;0.0004;0;0.3964;10.4962;42788.2512;0.8835;0.0361;0.0411;715.1365;0.0158;0.1634;0.0263;0.2382;0.233709014302633;2.33709014302633;313.037774795806;KE008037;0;4.5627;0.6674;0;1.5254;3.2377;2.5596;4.1718;9.3846;3.3384;5.364;8.5777;9.744;9.7855;9.562;9.7892;7.7125;9.2625;7.5891;9.1623;6.3583
Embakasi Central;KE047284;KE047;0.4839;5.8494;0;0.6602;0.894;0.535;0.0976;0.968;null;null;null;null;0.0118;40879.314;239115.3596;0.0875;0.9992;0.9792;19.1891;0.0054;0.1614;0.9294;0.9147;0.376387364810002;1.63101191417667;0;KE047284;0;null;null;null;0;7.425;null;0.0829;0;3.185;3.3759;0.2838;0;0.0653;3.3126;0.6384;0.471;8.8122;8.4341;3.9256;2.5952
Embakasi East;KE047285;KE047;0.5052;64.7112;0;0.4842;0.897;0.551;0.094;0.9634;null;0.6386;0;0;0.011;2357.1736;152535.3831;0.1152;0.9938;0.9268;19.4477;0.0074;0.1458;0.7741;0.7532;0.13111711898761;3.34348653418405;8.89126752861385;KE047285;0;8.6804;0;0;3.5122;7.5437;null;0.0744;0.3266;1.9877;3.2218;0.2483;0.0546;0.6082;3.3358;2.212;2.1997;9.5862;6.3848;4.1355;3.633
Embakasi North;KE047283;KE047;0.4816;4.5266;0;0.8697;0.897;0.477;0.1081;0.96;null;null;null;null;0.0163;64966.982;294080.5138;0.2264;0.9965;0.97;16.2419;0.0069;0.1704;0.9073;0.9324;0.408051517636036;0.7480944489994;4.46183144292508;KE047283;0;null;null;null;0;7.0788;null;0.1308;1.6376;3.8757;3.6888;0.2483;0.0273;0.1606;3.0246;0.8623;0.2815;8.7123;9.4907;4.3059;2.8625
Embakasi South;KE047282;KE047;0.571;12.4492;0;0.8203;0.901;0.508;0.1136;0.9784;null;null;null;null;0.0138;9431.0857;117410.8382;0.2476;0.9921;0.8067;15.3222;0.0035;0.1665;0.4349;0.6408;0.0851710128330316;2.29961734649185;0;KE047282;0;null;null;null;0;6.8975;null;0.1042;1.8875;3.5764;3.5763;0.201;0.0718;1.8527;2.924;5.649;3.4029;9.7312;7.634;5.0406;3.1308
Embakasi West;KE047286;KE047;0.5092;7.7654;0;0.3652;0.913;0.63;0.0889;0.9834;null;1;0;0;0.004;21237.7318;164919.3708;0.0879;0.9989;0.9847;13.5916;0.0064;0.1428;0.9227;0.8274;0.181907072979373;1.45525658383498;0;KE047286;0;10;0;0;4.8629;7.7118;null;0;0.0047;1.7575;3.1966;0.0591;0.003;0.0083;2.717;0.7063;1.4055;9.4259;8.6444;4.269;4.1429
Emgwen;KE029155;KE029;0.3449;359.1893;0;0.9798;0.8233;0.1974;0.0508;0.3323;0.3078;0.1861;0.0005;0;0.0131;411.6627;147864.8382;0.3094;0.9051;0.7886;151.2276;0.0339;0.1967;0.341;0.3612;1.4878452696235;2.43465589574754;156.660197899823;KE029155;0;5.0589;0.8043;0;1.7433;8.968;3.489;0.0967;2.6161;5.8941;5.0809;1.1197;0.952;2.0402;6.8784;6.6005;6.3958;5.3047;7.4724;5.0797;4.1267
Emurua Dikirr;KE032178;KE032;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;80.8808389120864;KE032178;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Endebess;KE026137;KE026;0.3267;675.9216;10.6964;0.9876;0.7624;0.1231;0.04;0.1071;0.2911;0.4152;0;0;0.02;138.3138;93489.2958;0.466;0.5564;0.4744;181.2365;0.024;0.2263;0.2065;0.441;0.320892351587673;1.60446175793836;293.530410781623;KE026137;8.1861;7.4145;0;0;5.0666;9.3241;3.091;0.1701;4.4624;8.1658;6.1286;1.8397;4.48;5.2958;7.191;7.9633;5.5416;8.9873;8.4659;6.7208;6.0166
Fafi;KE007031;KE007;0.3345;15473.8125;0;0.9915;0.1658;0.0339;0.21;0.0493;0.3551;0.259;0;0;0.3349;6.5544;101421.0949;0.6042;0.1087;0.2001;488.2316;0.0256;0.2033;0.0895;0.7111;0.394395268982149;1.18318580694645;205.389669284148;KE007031;0;6.0283;0;0;1.9733;3.7191;4.6163;3.518;6.0917;6.4006;4.9863;8.8934;9.0095;8.138;8.9027;9.1488;2.6504;8.7554;8.97;8.4437;5.8063
Funyula;KE040230;KE040;0.3096;261.1513;0;0.9937;0.7739;0.1524;0.0557;0.2009;0.3851;0.2487;0.0031;0;0.0102;422.7703;110406.9886;0.6229;0.547;0.7727;196.7508;0.0456;0.2058;0.2405;0.619;0.634017836077453;1.26803567215491;55.6826787731074;KE040230;0;5.9092;2.7988;0;2.5634;8.8065;5.3313;0.0659;6.3122;6.5925;6.0904;1.7037;4.5751;2.205;7.3329;7.6188;3.6363;7.9992;8.8685;6.1334;5.1332
Gachoka;KE014065;KE014;0.3325;1315.8854;6.6029;0.9848;0.8206;0.1916;0.0776;0.3403;0.3316;0.1487;0.0006;0;0.0207;115.093;151449.2135;0.4619;0.9195;0.5956;314.8566;0.0517;0.1756;0.5847;0.3671;2.0468907886498;2.70717813982715;611.395829147447;KE014065;7.7605;4.4019;0.9323;0;4.0102;8.0844;4.0562;0.1775;4.4141;4.2748;4.7169;1.1516;0.8064;4.04;8.145;4.1311;6.3327;3.5405;7.1463;4.9213;4.5608
Galole;KE004019;KE004;0.301;9638.7699;0;0.9915;0.5463;0.0857;0.0947;0.1238;0.546;0.2873;0.0044;0;0.0546;7.4688;71989.907;0.7481;0.4147;0.2854;382.7517;0.0264;0.2502;0.1882;0.4479;0.277816722357432;3.4727090294679;858.100533992616;KE004019;0;6.3327;3.345;0;2.884;7.5206;9.1659;0.538;7.7883;10;8.0412;4.3947;5.9136;7.2542;8.4823;8.1487;5.4678;9.1233;6.2302;7.1767;6.4793
Ganze;KE003015;KE003;0.2687;3174.6307;0;0.9957;0.5564;0.0533;0.0849;0.0673;0.5008;0.1818;0.0011;0;0.0731;57.8832;183757.7027;0.8214;0.2529;0.239;282.9511;0.0419;0.226;0.1432;0.5041;0.217677949924275;1.36048718702672;412.072203743765;KE003015;0;4.9904;1.4717;0;1.8728;7.8437;8.0887;0.7346;8.6524;8.1427;7.3548;4.2752;7.5506;7.7349;7.9605;8.6047;4.8662;9.3131;8.7578;7.7283;6.2147
Igembe Central;KE012052;KE012;0.3522;1390.9031;0;0.9834;0.7376;0.091;0.0624;0.2779;0.3053;0.6197;0;0;0.0372;157.0902;218497.2511;0.3299;0.9669;0.7808;178.0123;0.0342;0.1943;0.0982;0.4705;0.0457671661651017;1.46454931728325;266.643319982629;KE012052;0;8.592;0;0;3.444;8.5856;3.4295;0.353;2.8578;5.7099;4.8919;2.1329;0.3268;2.121;7.16;9.0607;5.2259;9.8556;8.6333;6.7573;5.1899
Garsen;KE004018;KE004;0.3036;15614.3482;0;0.9936;0.4949;0.0889;0.0756;0.0868;0.5533;0.1373;0.0028;0;0.0367;6.3516;99177.1163;0.7499;0.2226;0.2147;532.3881;0.0329;0.225;0.1655;0.5272;0.504148556476524;2.72240220497323;705.513524391169;KE004018;0;4.1685;2.648;0;1.8824;8.1503;9.3398;0.3477;7.8095;8.066;7.5565;5.0024;7.8571;7.9867;9.0523;8.3788;4.6189;8.409;7.128;7.5756;6.2344
Gatanga;KE021110;KE021;0.3278;604.9964;0;0.9694;0.8625;0.2494;0.0542;0.4987;0.3397;0.2865;0.0005;0;0.0156;391.126;236629.8303;0.3291;0.9843;0.7189;126.7876;0.0573;0.1574;0.6062;0.5289;1.5636236549551;2.11300493912851;367.67687146498;KE021110;0;6.3245;0.8043;0;2.2769;8.8559;4.2493;0.1233;2.8484;2.878;4.6151;0.6562;0.1507;2.7624;6.5739;3.9133;4.6007;5.0656;7.8573;4.4235;3.844
