"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,125,"LBN","Lebanon",1,"Akkar",1,"Akkar","Qadaa","District",NA,NA
2,125,"LBN","Lebanon",1,"Akkar",2,"Minieh-Danieh","Qadaa","District",NA,NA
3,125,"LBN","Lebanon",2,"Baalbak - Hermel",3,"Baalbeck","Qadaa","District",NA,NA
4,125,"LBN","Lebanon",2,"Baalbak - Hermel",4,"Hermel","Qadaa","District",NA,NA
5,125,"LBN","Lebanon",3,"Beirut",5,"Beirut","Qadaa","District",NA,NA
6,125,"LBN","Lebanon",4,"Bekaa",6,"Rachiaya","Qadaa","District",NA,NA
7,125,"LBN","Lebanon",4,"Bekaa",7,"West Bekaa","Qadaa","District",NA,NA
8,125,"LBN","Lebanon",4,"Bekaa",8,"Zahleh","Qadaa","District",NA,NA
9,125,"LBN","Lebanon",5,"Mount Lebanon",9,"Aley","Qadaa","District",NA,NA
10,125,"LBN","Lebanon",5,"Mount Lebanon",10,"Baabda","Qadaa","District",NA,NA
11,125,"LBN","Lebanon",5,"Mount Lebanon",11,"Batroun","Qadaa","District",NA,NA
12,125,"LBN","Lebanon",5,"Mount Lebanon",12,"Chouf","Qadaa","District",NA,NA
13,125,"LBN","Lebanon",5,"Mount Lebanon",13,"El Metn","Qadaa","District",NA,NA
14,125,"LBN","Lebanon",5,"Mount Lebanon",14,"Jezzine","Qadaa","District",NA,NA
15,125,"LBN","Lebanon",5,"Mount Lebanon",15,"Jubail","Qadaa","District",NA,NA
16,125,"LBN","Lebanon",5,"Mount Lebanon",16,"Kasrouane","Qadaa","District",NA,NA
17,125,"LBN","Lebanon",6,"Nabatiyeh",17,"Bint Jbayl","Qadaa","District",NA,NA
18,125,"LBN","Lebanon",6,"Nabatiyeh",18,"Hasbaya","Qadaa","District",NA,NA
19,125,"LBN","Lebanon",6,"Nabatiyeh",19,"Marjaayoun","Qadaa","District",NA,NA
20,125,"LBN","Lebanon",6,"Nabatiyeh",20,"Nabatiyeh","Qadaa","District",NA,NA
21,125,"LBN","Lebanon",7,"North",21,"Batroun","Qadaa","District",NA,NA
22,125,"LBN","Lebanon",7,"North",22,"Bcharre","Qadaa","District",NA,NA
23,125,"LBN","Lebanon",7,"North",23,"Koura","Qadaa","District",NA,NA
24,125,"LBN","Lebanon",7,"North",24,"Minieh-Danieh","Qadaa","District",NA,NA
25,125,"LBN","Lebanon",7,"North",25,"Tripoli","Qadaa","District",NA,NA
26,125,"LBN","Lebanon",7,"North",26,"Zgharta","Qadaa","District",NA,NA
27,125,"LBN","Lebanon",8,"South",27,"Jezzine","Qadaa","District",NA,NA
28,125,"LBN","Lebanon",8,"South",28,"Nabatiyeh","Qadaa","District",NA,NA
29,125,"LBN","Lebanon",8,"South",29,"Saida","Qadaa","District",NA,NA
30,125,"LBN","Lebanon",8,"South",30,"Sour","Qadaa","District",NA,NA
