RC	UFI	UNI	LAT	LONG	DMS_LAT	DMS_LONG	MGRS	JOG	FC	DSG	PC	CC1	ADM1	POP	ELEV	CC2	NT	LC	SHORT_FORM	GENERIC	SORT_NAME_RO	FULL_NAME_RO	FULL_NAME_ND_RO	SORT_NAME_RG	FULL_NAME_RG	FULL_NAME_ND_RG	NOTE	MODIFY_DATE	DISPLAY	NAME_RANK	NAME_LINK	TRANSL_CD	NM_MODIFY_DATE	F_EFCTV_DT	F_TERM_DT
3	-1732219	-2427437	0	30.583333	0:00:00N	30:35:00E	36NTF3100500000	NA36-13	A	ADMD		UG	00				N		Mitoma		MITOMACOUNTY	Mitoma County	Mitoma County	MITOMACOUNTY	Mitoma County	Mitoma County		1993-12-28	1,2,3,4,5	1			1993-09-01		
3	-1733660	-2429195	1.25	34.333333	1:15:00N	34:20:00E	36NXG4834538200	NA36-11	A	ADMD		UG	00				V				NORTHBUGISHU	North Bugishu	North Bugishu	NORTHBUGISHU	North Bugishu	North Bugishu		1993-12-28	1,2,3,4,5				1993-09-01		
3	-1733660	-2429196	1.25	34.333333	1:15:00N	34:20:00E	36NXG4834538200	NA36-11	A	ADMD		UG	00				N		North Bugisu		NORTHBUGISUCOUNTY	North Bugisu County	North Bugisu County	NORTHBUGISUCOUNTY	North Bugisu County	North Bugisu County		1993-12-28	1,2,3,4,5	1			1993-09-01		
3	-1727236	-2421403	.25	32.416667	0:15:00N	32:25:00E	36NVF3508927634	NA36-14	A	ADMD		UG	00				N		Busiro		BUSIROCOUNTY	Busiro County	Busiro County	BUSIROCOUNTY	Busiro County	Busiro County		1993-12-28	1,2,3,4,5	1			1993-09-01		
3	-1735286	-2431202	.5	30.5	0:30:00N	30:30:00E	36NTF2173455318	NA36-13	A	ADM2		UG	00				N	eng	Toro		TORODISTRICT	Toro District	Toro District	TORODISTRICT	Toro District	Toro District		1993-12-28	1,2,3,4,5	1			2016-09-28		
3	-1735286	-2431201	.5	30.5	0:30:00N	30:30:00E	36NTF2173455318	NA36-13	A	ADM2		UG	00				V	eng			KINGDOMOFTORO	Kingdom of Toro	Kingdom of Toro	TORO KINGDOMOF	Toro, Kingdom of	Toro, Kingdom of		1993-12-28	1,2,3,4,5				2016-09-28		
3	-1732253	-2427494	2.333333	33.3	2:20:00N	33:18:00E	36NWH3335557908	NA36-07	A	ADMD		UG	00				N		Moroto		MOROTOCOUNTY	Moroto County	Moroto County	MOROTOCOUNTY	Moroto County	Moroto County		1993-12-28	1,2,3,4,5	1			1993-09-01		
3	11871812	14480615	2.921905	32.896939	2:55:19N	32:53:49E	36NVJ8854722962	NA36-06	A	ADM3		UG	92				N		Lapul		LAPULSUBCOUNTY	Lapul Sub-County	Lapul Sub-County	LAPULSUBCOUNTY	Lapul Sub-County	Lapul Sub-County		2013-10-30	1,2,3,4,5,6,7,8,9	2			2013-10-30		
3	11871812	14480616	2.921905	32.896939	2:55:19N	32:53:49E	36NVJ8854722962	NA36-06	A	ADM3		UG	92				N				LAPUL	Lapul	Lapul	LAPUL	Lapul	Lapul		2013-10-30	1,2,3,4,5,6,7,8,9	1			2013-10-30		
3	11871813	14480617	2.98999	33.029705	2:59:24N	33:01:47E	36NWJ0330130487	NA36-07	A	ADM3		UG	92				N		Pajule		PAJULESUBCOUNTY	Pajule Sub-County	Pajule Sub-County	PAJULESUBCOUNTY	Pajule Sub-County	Pajule Sub-County		2013-10-30	1,2,3,4,5,6,7,8,9	2			2013-10-30		
3	11871813	14480618	2.98999	33.029705	2:59:24N	33:01:47E	36NWJ0330130487	NA36-07	A	ADM3		UG	92				N				PAJULE	Pajule	Pajule	PAJULE	Pajule	Pajule		2013-10-30	1,2,3,4,5,6,7,8,9	1			2013-10-30		
3	-1731960	-2427120	3.25	30.916667	3:15:00N	30:55:00E	36NTJ6849759465	NA36-01	A	ADMD		UG	D7				V				MARACA	Maraca	Maraca	MARACA	Maraca	Maraca		2011-06-30	1,2,3,4,5				1993-09-01		
3	-1731960	-2427124	3.25	30.916667	3:15:00N	30:55:00E	36NTJ6849759465	NA36-01	A	ADMD		UG	D7				N		Maracha		MARACHACOUNTY	Maracha County	Maracha County	MARACHACOUNTY	Maracha County	Maracha County		2011-06-30	1,2,3,4,5	1			1993-09-01		
3	-1726373	-2420406	3.05	30.916667	3:03:00N	30:55:00E	36NTJ6845237344	NA36-01	A	ADMD		UG	A1				N		Ayivu		AYIVUCOUNTY	Ayivu County	Ayivu County	AYIVUCOUNTY	Ayivu County	Ayivu County		2011-06-30	1,2,3,4,5	1			1993-09-01		
3	-1726373	-2419754	3.05	30.916667	3:03:00N	30:55:00E	36NTJ6845237344	NA36-01	A	ADMD		UG	A1				V				AIIVU	Ai-Ivu	Ai-Ivu	AIIVU	Ai-Ivu	Ai-Ivu		2011-06-30	1,2,3,4,5				1993-09-01		
3	-1735243	-2431145	3.166667	31.166667	3:10:00N	31:10:00E	36NTJ9627150196	NA36-01	A	ADMD		UG	A1				N		Terego		TEREGOCOUNTY	Terego County	Terego County	TEREGOCOUNTY	Terego County	Terego County		2011-06-30	1,2,3,4,5	1			1993-09-01		
3	-1726227	-2420225	3.583333	31.25	3:35:00N	31:15:00E	36NUJ0561796257	NA36-01	A	ADMD		UG	97				N		Aringa		ARINGACOUNTY	Aringa County	Aringa County	ARINGACOUNTY	Aringa County	Aringa County		2011-06-30	1,2,3,4,5	1			1993-09-01		
3	-1730605	-2425427	3.5	31	3:30:00N	31:00:00E	36NTJ7781787097	NA36-01	A	ADMD		UG	D4				N		Koboko		KOBOKOCOUNTY	Koboko County	Koboko County	KOBOKOCOUNTY	Koboko County	Koboko County		2011-06-30	1,2,3,4,5	1			1993-09-01		
3	-1730605	-2425422	3.5	31	3:30:00N	31:00:00E	36NTJ7781787097	NA36-01	A	ADMD		UG	D4				V				KOBBOKO	Kobboko	Kobboko	KOBBOKO	Kobboko	Kobboko		2011-06-30	1,2,3,4,5				1993-09-01		
3	-1735536	-2431519	2.75	32.166667	2:45:00N	32:10:00E	36NVJ0737403992	NA36-06	A	ADM2		UG	H2				N		West Acholi		WESTACHOLIDISTRICT	West Acholi District	West Acholi District	WESTACHOLIDISTRICT	West Acholi District	West Acholi District		2011-06-30	1,2,3,4,5	1			1993-09-01		
3	-1731804	-2426944	3.25	31.75	3:15:00N	31:45:00E	36NUJ6111759312	NA36-02	A	ADM2		UG	98				N		Madi		MADIDISTRICT	Madi District	Madi District	MADIDISTRICT	Madi District	Madi District		2011-06-30	1,2,3,4,5	1			1993-09-01		
3	-1727760	-2422037	3.25	31.833333	3:15:00N	31:50:00E	36NUJ7037859301	NA36-02	A	ADMD		UG	98				N		East Madi		EASTMADICOUNTY	East Madi County	East Madi County	EASTMADICOUNTY	East Madi County	East Madi County		2011-06-30	1,2,3,4,5	1			1993-09-01		
3	-1735541	-2431524	3.5	31.583333	3:30:00N	31:35:00E	36NUJ4263686979	NA36-02	A	ADMD		UG	B3				N		West Madi		WESTMADICOUNTY	West Madi County	West Madi County	WESTMADICOUNTY	West Madi County	West Madi County		2011-06-30	1,2,3,4,5	1			1993-09-01		
3	-1734567	-2430322	1.166667	33.75	1:10:00N	33:45:00E	36NWG8344128963	NA36-11	A	ADMD		UG	B5				N		Pallisa		PALLISACOUNTY	Pallisa County	Pallisa County	PALLISACOUNTY	Pallisa County	Pallisa County		2011-07-05	1,2,3,4,5	1			1993-09-01		
3	-1735349	-2431292	1.833333	34.916667	1:50:00N	34:55:00E	36NYH1320902753	NA36-12	A	ADMD		UG	E5				N		Upe		UPECOUNTY	Upe County	Upe County	UPECOUNTY	Upe County	Upe County		2011-07-05	1,2,3,4,5	1			1993-09-01		
3	-1726731	-2420833	1.166667	34.333333	1:10:00N	34:20:00E	36NXG4834928987	NA36-11	A	ADM2		UG	94				V				BUGISHUDISTRICT	Bugishu District	Bugishu District	BUGISHUDISTRICT	Bugishu District	Bugishu District		2011-07-05	1,2,3,4,5				1993-09-01		
3	-1726731	-2420834	1.166667	34.333333	1:10:00N	34:20:00E	36NXG4834928987	NA36-11	A	ADM2		UG	94				N		Bugisu		BUGISUDISTRICT	Bugisu District	Bugisu District	BUGISUDISTRICT	Bugisu District	Bugisu District		2011-07-05	1,2,3,4,5	1			1993-09-01		
