RC	UFI	UNI	LAT	LONG	DMS_LAT	DMS_LONG	MGRS	JOG	FC	DSG	PC	CC1	ADM1	POP	ELEV	CC2	NT	LC	SHORT_FORM	GENERIC	SORT_NAME_RO	FULL_NAME_RO	FULL_NAME_ND_RO	SORT_NAME_RG	FULL_NAME_RG	FULL_NAME_ND_RG	NOTE	MODIFY_DATE	DISPLAY	NAME_RANK	NAME_LINK	TRANSL_CD	NM_MODIFY_DATE	F_EFCTV_DT	F_TERM_DT
3	-1731910	-2427065	-.951944	31.640278	0:57:07S	31:38:25E	36MUD4870394752	SA36-02	V	FRST		UG	61				N				MALABIGAMBOFOREST	Malabigambo Forest	Malabigambo Forest	MALABIGAMBOFOREST	Malabigambo Forest	Malabigambo Forest		2003-10-30	1,2,3,4,5,6,7,8,9	1			2003-10-30		
3	-1729718	-2424429	.561944	30.648889	0:33:43N	30:38:56E	36NTF3831962164	NA36-13	V	FRST		UG	85				V				KIBALEFORESTRESERVE	Kibale Forest Reserve	Kibale Forest Reserve	KIBALEFORESTRESERVE	Kibale Forest Reserve	Kibale Forest Reserve		2003-10-30	1,2,3,4,5,6,7,8,9				2003-10-30		
3	-1729718	-2424428	.561944	30.648889	0:33:43N	30:38:56E	36NTF3831962164	NA36-13	V	FRST		UG	85				N				KIBALEFOREST	Kibale Forest	Kibale Forest	KIBALEFOREST	Kibale Forest	Kibale Forest		2003-10-30	1,2,3,4,5,6,7,8,9	1			2003-10-30		
3	-1733755	-2429305	.866667	30.75	0:52:00N	30:45:00E	36NTF4959595867	NA36-13	V	FRST		UG	00				N				NTALI	Ntali	Ntali	NTALI	Ntali	Ntali		1993-12-28	1,2,3,4,5	1			1993-09-01		
3	-1727793	-2422083	3.616667	31.633333	3:37:00N	31:38:00E	36NUJ4821199870	NA36-02	V	FRST		UG	B3				N				ERA	Era	Era	ERA	Era	Era		2011-06-30	1,2,3,4,5	1			1993-09-01		
3	-1734482	-2430218	3.633333	31.766667	3:38:00N	31:46:00E	36NUK6302401691	NA36-02	V	FRST		UG	B3				N				OTZI	Otzi	Otzi	OTZI	Otzi	Otzi		2011-06-30	1,2,3,4,5	1			1993-09-01		
3	-1732300	-2427570	3.7	31.166667	3:42:00N	31:10:00E	36NTK9638409177	NA36-01	V	FRST		UG	97				N				MOUNTKEI	Mount Kei	Mount Kei	MOUNTKEI	Mount Kei	Mount Kei		2011-06-30	1,2,3,4,5	1			1993-09-01		
3	-1732300	-2421785	3.7	31.166667	3:42:00N	31:10:00E	36NTK9638409177	NA36-01	V	FRST		UG	97				V				CENTRALFORESTRESERVE	Central Forest Reserve	Central Forest Reserve	CENTRALFORESTRESERVE	Central Forest Reserve	Central Forest Reserve		2011-06-30	1,2,3,4,5				1993-09-01		
1	-1731091	9197263	2.613611	33.714722	2:36:49N	33:42:53E	36NWH7945188907	NA36-07	V	FRST		UG	B6				N				LABWORHILLSFOREST	Labwor Hills Forest	Labwor Hills Forest	LABWORHILLSFOREST	Labwor Hills Forest	Labwor Hills Forest		2011-07-05	1,2,3,4,5,6,7,8,9	1			2003-10-30		
3	-1731091	-2426023	2.613611	33.714722	2:36:49N	33:42:53E	36NWH7945188907	NA36-07	V	FRST		UG	B6				V				LABWORHILLS	Labwor Hills	Labwor Hills	LABWORHILLS	Labwor Hills	Labwor Hills		2011-07-05	1,2,3,4,5,6,7,8,9				2003-10-30		
3	-1728164	-2422531	.641111	33.304167	0:38:28N	33:18:15E	36NWF3384470863	NA36-15	V	FRST		UG	33				N				IZERU	Izeru	Izeru	IZERU	Izeru	Izeru		2011-07-05	1,2,3,4,5	1			1993-09-01		
3	-1734973	-2430821	1	33.8	1:00:00N	33:48:00E	36NWG8900910541	NA36-11	V	FRST		UG	F6				N				SALA	Sala	Sala	SALA	Sala	Sala		2011-07-05	1,2,3,4,5	1			1993-09-01		
3	-1732084	-2427274	1.066667	34.183333	1:04:00N	34:11:00E	36NXG3166217924	NA36-11	V	FRST		UG	B1				N				MBALEPLANTATION	Mbale Plantation	Mbale Plantation	MBALEPLANTATION	Mbale Plantation	Mbale Plantation		2011-07-05	1,2,3,4,5	1			1993-09-01		
3	-1735135	-2431004	.516667	33.9	0:31:00N	33:54:00E	36NXF0014857114	NA36-15	V	FRST		UG	66				N				SITAMBOGO	Sitambogo	Sitambogo	SITAMBOGO	Sitambogo	Sitambogo		2011-07-05	1,2,3,4,5	1			1993-09-01		
3	-1733248	-2428670	.6	32.966667	0:36:00N	32:58:00E	36NVF9629166318	NA36-14	V	FRST		UG	83				N				NAMUKUPAFOREST	Namukupa Forest	Namukupa Forest	NAMUKUPAFOREST	Namukupa Forest	Namukupa Forest		2011-07-05	1,2,3,4,5	1			1993-09-01		
3	-1731370	-2426412	3.733333	34.1	3:44:00N	34:06:00E	36NXK2215212728	NA36-03	V	FRST		UG	D1				N				LOTIMANDPOTA	Lotim and Pota	Lotim and Pota	LOTIMANDPOTA	Lotim and Pota	Lotim and Pota		2011-07-05	1,2,3,4,5	1			1993-09-01		
3	-1733354	-2428808	2.9	33.583333	2:54:00N	33:35:00E	36NWJ6482920557	NA36-07	V	FRST		UG	B6				N				NAPONOFOREST	Napono Forest	Napono Forest	NAPONOFOREST	Napono Forest	Napono Forest		2011-07-05	1,2,3,4,5	1			1993-09-01		
3	-1728423	-2422854	1.8	34.75	1:48:00N	34:45:00E	36NXG9466699048	NA36-12	V	FRST		UG	91				N				KADAMFORESTRESERVE	Kadam Forest Reserve	Kadam Forest Reserve	KADAMFORESTRESERVE	Kadam Forest Reserve	Kadam Forest Reserve		2011-07-05	1,2,3,4,5	1			1993-09-01		
3	-1728857	-2423371	2.083333	34.266667	2:05:00N	34:16:00E	36NXH4086730329	NA36-07	V	FRST		UG	G8				N				KAMALINGAFOREST	Kamalinga Forest	Kamalinga Forest	KAMALINGAFOREST	Kamalinga Forest	Kamalinga Forest		2011-07-05	1,2,3,4,5	1			1993-09-01		
3	-1732299	-2427569	1.25	34.5	1:15:00N	34:30:00E	36NXG6689238210	NA36-12	V	FRST		UG	A5				N				MOUNTELGONFORESTRESERVE	Mount Elgon Forest Reserve	Mount Elgon Forest Reserve	MOUNTELGONFORESTRESERVE	Mount Elgon Forest Reserve	Mount Elgon Forest Reserve		2011-07-05	1,2,3,4,5	1			1993-09-01		
3	-1728601	-2423061	.95	31.1	0:57:00N	31:06:00E	36NTG8856705062	NA36-13	V	FRST		UG	41				N				KAJUNJO	Kajunjo	Kajunjo	KAJUNJO	Kajunjo	Kajunjo		2011-07-06	1,2,3,4,5	1			1993-09-01		
3	-1728069	-2422413	-1	29.666667	1:00:00S	29:40:00E	35MQU9679689349	SA35-04	V	FRST		UG	82				N				IMPENETRABLEFOREST	Impenetrable Forest	Impenetrable Forest	IMPENETRABLEFOREST	Impenetrable Forest	Impenetrable Forest		2011-07-06	1,2,3,4,5	1			1993-09-01		
3	-1729225	-2423833	1.116667	31.083333	1:07:00N	31:05:00E	36NTG8672323495	NA36-09	V	FRST		UG	41				N				KASATONANKALANGIFOREST	Kasato-Nankalangi Forest	Kasato-Nankalangi Forest	KASATONANKALANGIFOREST	Kasato-Nankalangi Forest	Kasato-Nankalangi Forest		2011-07-06	1,2,3,4,5	1			1993-09-01		
3	-1730401	-2425194	.7	30.9	0:42:00N	30:54:00E	36NTF6628777423	NA36-13	V	FRST		UG	85				N				KITECHURA	Kitechura	Kitechura	KITECHURA	Kitechura	Kitechura		2011-07-06	1,2,3,4,5	1			1993-09-01		
3	-1728152	-2422508	.8125	30.558333	0:48:45N	30:33:30E	36NTF2824889888	NA36-13	V	FRST		UG	85				N				ITWARAFOREST	Itwara Forest	Itwara Forest	ITWARAFOREST	Itwara Forest	Itwara Forest		2011-07-06	1,2,3,4,5,6,7,8,9	1			2003-10-30		
3	-1728152	-2422509	.8125	30.558333	0:48:45N	30:33:30E	36NTF2824889888	NA36-13	V	FRST		UG	85				V				ITWARAFORESTRESERVE	Itwara Forest Reserve	Itwara Forest Reserve	ITWARAFORESTRESERVE	Itwara Forest Reserve	Itwara Forest Reserve		2011-07-06	1,2,3,4,5,6,7,8,9				2003-10-30		
3	-1732029	-2427215	.55	30.833333	0:33:00N	30:50:00E	36NTF5885760835	NA36-13	V	FRST		UG	85				N				MATIRI	Matiri	Matiri	MATIRI	Matiri	Matiri		2011-07-06	1,2,3,4,5	1			1993-09-01		
3	-1735469	-2431429	.333333	32.266667	0:20:00N	32:16:00E	36NVF1839836846	NA36-14	V	FRST		UG	89				V				WAMAGO	Wamago	Wamago	WAMAGO	Wamago	Wamago		2011-07-06	1,2,3,4,5				1993-09-01		
3	-1735469	-2431434	.333333	32.266667	0:20:00N	32:16:00E	36NVF1839836846	NA36-14	V	FRST		UG	89				N				WAMANGO	Wamango	Wamango	WAMANGO	Wamango	Wamango		2011-07-06	1,2,3,4,5	1			1993-09-01		
3	-1730875	-2425767	.216667	32.133333	0:13:00N	32:08:00E	36NVF0355923951	NA36-14	V	FRST		UG	F1				N				KYAMBOGO	Kyambogo	Kyambogo	KYAMBOGO	Kyambogo	Kyambogo		2011-07-06	1,2,3,4,5	1			1993-09-01		
3	-1730875	-2425760	.216667	32.133333	0:13:00N	32:08:00E	36NVF0355923951	NA36-14	V	FRST		UG	F1				V				KYAMBOBO	Kyambobo	Kyambobo	KYAMBOBO	Kyambobo	Kyambobo		2011-07-06	1,2,3,4,5				1993-09-01		
