RC	UFI	UNI	LAT	LONG	DMS_LAT	DMS_LONG	MGRS	JOG	FC	DSG	PC	CC1	ADM1	POP	ELEV	CC2	NT	LC	SHORT_FORM	GENERIC	SORT_NAME_RO	FULL_NAME_RO	FULL_NAME_ND_RO	SORT_NAME_RG	FULL_NAME_RG	FULL_NAME_ND_RG	NOTE	MODIFY_DATE	DISPLAY	NAME_RANK	NAME_LINK	TRANSL_CD	NM_MODIFY_DATE	F_EFCTV_DT	F_TERM_DT
3	-1726744	-2420847	-.229167	32.044444	0:13:45S	32:02:40E	36MUE9366674667	SA36-02	S	MSSN		UG	36				N				BUGOMA	Bugoma	Bugoma	BUGOMA	Bugoma	Bugoma		2003-10-30	1,2,3,4,5,6,7,8,9	1			2003-10-30		
3	-1733619	-2429145	.233333	31.166667	0:14:00N	31:10:00E	36NTF9596325804	NA36-13	S	RSTN		UG	00				N		Nkonge		NKONGESTATION	Nkonge Station	Nkonge Station	NKONGESTATION	Nkonge Station	Nkonge Station		1993-12-28	1,2,3,4,5	1			1993-09-01		
3	-1727741	-2422011	3.583333	31.966667	3:35:00N	31:58:00E	36NUJ8523396136	NA36-02	S	FT		UG	00				N				DUFILE	Dufile	Dufile	DUFILE	Dufile	Dufile		1993-12-28	1,2,3,4,5	1			1993-09-01		
3	-1727943	-2426870	-.1	30.416667	0:06:00S	30:25:00E	36MTE1244288936	SA36-01	S	FT		UG	00				V				FORTLWERA	Fort Lwera	Fort Lwera	LWERA FORT	Lwera, Fort	Lwera, Fort		1993-12-28	1,2,3,4,5				1993-09-01		
3	-1727943	-2422263	-.1	30.416667	0:06:00S	30:25:00E	36MTE1244288936	SA36-01	S	FT		UG	00				N				FORTGRANT	Fort Grant	Fort Grant	GRANT FORT	Grant, Fort	Grant, Fort		1993-12-28	1,2,3,4,5	1			1993-09-01		
3	-1727542	-2421740	.2	31.3	0:12:00N	31:18:00E	36NUF1080622116	NA36-13	S	RUIN		UG	00				N				BWEWEMBA	Bwewemba	Bwewemba	BWEWEMBA	Bwewemba	Bwewemba		1993-12-28	1,2,3,4,5	1			1993-09-01		
3	-1727929	-2427663	1.633333	32.083333	1:38:00N	32:05:00E	36NUG9803580556	NA36-10	S	RUIN		UG	00				V				MRULI	Mruli	Mruli	MRULI	Mruli	Mruli		1993-12-28	1,2,3,4,5				1993-09-01		
3	-1727929	-2422248	1.633333	32.083333	1:38:00N	32:05:00E	36NUG9803580556	NA36-10	S	RUIN		UG	00				N				GORDONSMRULI	Gordons Mruli	Gordons Mruli	GORDONSMRULI	Gordons Mruli	Gordons Mruli		1993-12-28	1,2,3,4,5	1			1993-09-01		
3	-1727929	-2422125	1.633333	32.083333	1:38:00N	32:05:00E	36NUG9803580556	NA36-10	S	RUIN		UG	00				V				FORTMRULI	Fort Mruli	Fort Mruli	FORTMRULI	Fort Mruli	Fort Mruli		1993-12-28	1,2,3,4,5				1993-09-01		
3	-1731321	-2426338	1.683333	34.433333	1:41:00N	34:26:00E	36NXG5944286118	NA36-11	S	DAM		UG	91				N				LONONINEI	Lononinei	Lononinei	LONONINEI	Lononinei	Lononinei		2011-07-05	1,2,3,4,5	1			1993-09-01		
3	-1732275	-2427534	2.6	33.766667	2:36:00N	33:46:00E	36NWH8522687406	NA36-07	S	MSSN		UG	B6				N				MORULEM	Morulem	Morulem	MORULEM	Morulem	Morulem		2011-07-05	1,2,3,4,5	1			1993-09-01		
3	-1728960	-2423499	1.066667	33.533333	1:04:00N	33:32:00E	36NWG5933717904	NA36-11	S	MSSN		UG	D2				N				KANAMBATIKO	Kanambatiko	Kanambatiko	KANAMBATIKO	Kanambatiko	Kanambatiko		2011-07-05	1,2,3,4,5	1			1993-09-01		
3	-1731337	-2426368	1.7	34.466667	1:42:00N	34:28:00E	36NXG6315087964	NA36-11	S	DAM		UG	91				N				LOPORINE	Loporine	Loporine	LOPORINE	Loporine	Loporine		2011-07-05	1,2,3,4,5	1			1993-09-01		
3	-1731337	-2419904	1.7	34.466667	1:42:00N	34:28:00E	36NXG6315087964	NA36-11	S	DAM		UG	91				V				ALATUKOI	Alatukoi	Alatukoi	ALATUKOI	Alatukoi	Alatukoi		2011-07-05	1,2,3,4,5				1993-09-01		
3	-1732085	-2427275	1.083333	34.15	1:05:00N	34:09:00E	36NXG2795219765	NA36-11	S	RSTN		UG	B1				N		Mbale		MBALESTATION	Mbale Station	Mbale Station	MBALESTATION	Mbale Station	Mbale Station		2011-07-05	1,2,3,4,5	1			1993-09-01		
3	-1733134	-2428536	.566667	32.883333	0:34:00N	32:53:00E	36NVF8701962634	NA36-14	S	EST		UG	90				N				NAMANYONYIESTATE	Namanyonyi Estate	Namanyonyi Estate	NAMANYONYIESTATE	Namanyonyi Estate	Namanyonyi Estate		2011-07-05	1,2,3,4,5	1			1993-09-01		
3	-1730333	-2425119	.583333	32.883333	0:35:00N	32:53:00E	36NVF8701964476	NA36-14	S	EST		UG	90				N				KISONZIESTATE	Kisonzi Estate	Kisonzi Estate	KISONZIESTATE	Kisonzi Estate	Kisonzi Estate		2011-07-05	1,2,3,4,5	1			1993-09-01		
3	-1735506	-2431478	.55	32.916667	0:33:00N	32:55:00E	36NVF9072860792	NA36-14	S	MSSN		UG	90				N				WANTULUNTU	Wantuluntu	Wantuluntu	WANTULUNTU	Wantuluntu	Wantuluntu		2011-07-05	1,2,3,4,5	1			1993-09-01		
3	-1728407	-2422833	1.25	34.1	1:15:00N	34:06:00E	36NXG2238138188	NA36-11	S	RSTN		UG	C3				N		Kachumbala		KACHUMBALASTATION	Kachumbala Station	Kachumbala Station	KACHUMBALASTATION	Kachumbala Station	Kachumbala Station		2011-07-05	1,2,3,4,5	1			1993-09-01		
3	-1728061	-2422403	.433333	33.466667	0:26:00N	33:28:00E	36NWF5192747898	NA36-15	S	FRM		UG	86				N	eng			IKULWEFARM	Ikulwe Farm	Ikulwe Farm	IKULWEFARM	Ikulwe Farm	Ikulwe Farm		2011-07-05	1,2,3,4,5	1			2016-10-24		
3	-1726660	34806	.481667	33.425	0:28:54N	33:25:30E	36NWF4729153240	NA36-15	S	PRN		UG	86				V	eng			BUFULUBI	Bufulubi	Bufulubi	BUFULUBI	Bufulubi	Bufulubi		2011-07-05	1,2,3,4,5				2016-10-24		
3	-1726660	-2420753	.481667	33.425	0:28:54N	33:25:30E	36NWF4729153240	NA36-15	S	PRN		UG	86				N	eng			BUFULUBIPRISON	Bufulubi Prison	Bufulubi Prison	BUFULUBIPRISON	Bufulubi Prison	Bufulubi Prison		2011-07-05	1,2,3,4,5	1			2016-10-24		
3	-1733602	-2429127	.6	32.883333	0:36:00N	32:53:00E	36NVF8701966318	NA36-14	S	EST		UG	90				N				NKOKOESTATE	Nkoko Estate	Nkoko Estate	NKOKOESTATE	Nkoko Estate	Nkoko Estate		2011-07-05	1,2,3,4,5	1			1993-09-01		
3	-1727619	-2421847	.6	32.916667	0:36:00N	32:55:00E	36NVF9072866318	NA36-14	S	EST		UG	90				N				CHEVUNJEESTATE	Chevunje Estate	Chevunje Estate	CHEVUNJEESTATE	Chevunje Estate	Chevunje Estate		2011-07-05	1,2,3,4,5	1			1993-09-01		
3	-1730520	-2425330	.466667	32.9	0:28:00N	32:54:00E	36NVF8887351581	NA36-14	S	EST		UG	90				N				KIWALAESTATE	Kiwala Estate	Kiwala Estate	KIWALAESTATE	Kiwala Estate	Kiwala Estate		2011-07-05	1,2,3,4,5	1			1993-09-01		
3	-1732651	-2427983	.533333	33.25	0:32:00N	33:15:00E	36NWF2781858950	NA36-15	S	RSTN		UG	33				N				MUTAISTATION	Mutai Station	Mutai Station	MUTAISTATION	Mutai Station	Mutai Station		2011-07-05	1,2,3,4,5	1			2017-04-25		
3	-1726269	-2420279	1.8	33.966667	1:48:00N	33:58:00E	36NXG0751898983	NA36-11	S	MSSN		UG	A6				N				ASURET	Asuret	Asuret	ASURET	Asuret	Asuret		2011-07-05	1,2,3,4,5	1			1993-09-01		
3	-1728400	-2422824	1.1	33.933333	1:06:00N	33:56:00E	36NXG0384221599	NA36-11	S	MSSN		UG	C1				N				KACHOMO	Kachomo	Kachomo	KACHOMO	Kachomo	Kachomo		2011-07-05	1,2,3,4,5	1			1993-09-01		
