RC	UFI	UNI	LAT	LONG	DMS_LAT	DMS_LONG	MGRS	JOG	FC	DSG	PC	CC1	ADM1	POP	ELEV	CC2	NT	LC	SHORT_FORM	GENERIC	SORT_NAME_RO	FULL_NAME_RO	FULL_NAME_ND_RO	SORT_NAME_RG	FULL_NAME_RG	FULL_NAME_ND_RG	NOTE	MODIFY_DATE	DISPLAY	NAME_RANK	NAME_LINK	TRANSL_CD	NM_MODIFY_DATE	F_EFCTV_DT	F_TERM_DT
3	-2059689	-2856737	1.262213	30.462818	1:15:44N	30:27:46E	36NTG1765039650	NA36-09	H	STM		CG,UG				CG,UG	N				SEMLIKI	Semliki	Semliki	SEMLIKI	Semliki	Semliki		2012-04-13	1,2,3,4,5,6,7,8,9	1			2012-04-17		
3	-2574551	-3543055	-1	33	1:00:00S	33:00:00E	36MWD0000089470	SA36-03	H	LK		KE,TZ,UG				KE,TZ,UG	N				LAKEVICTORIA	Lake Victoria	Lake Victoria	LAKEVICTORIA	Lake Victoria	Lake Victoria		2017-11-13	1,2,3,4,5	1			2017-11-13		
3	-2253652	-3110903	3.316667	34.533333	3:19:00N	34:32:00E	36NXJ7035866727	NA36-04	H	STM		KE,UG				KE,UG	N				LOKUCHO	Lokucho	Lokucho	LOKUCHO	Lokucho	Lokucho		2015-12-14	1,2,3,4,5	1			2015-12-14		
3	-1731188	-2426148	3.216667	34.533333	3:13:00N	34:32:00E	36NXJ7037555670	NA36-04	H	STM		KE,UG				KE,UG	N				LOCHAN	Lochan	Lochan	LOCHAN	Lochan	Lochan		2015-12-14	1,2,3,4,5	1			2015-12-14		
3	13731390	17482372	2.667424	34.849129	2:40:03N	34:50:57E	36NYH0557694987	NA36-08	H	STM		KE,UG				KE,UG	N				ANGARO	Angaro	Angaro	ANGARO	Angaro	Angaro		2016-06-02	1,2,3,4,5	1			2016-06-07		
3	-2248048	-3103955	2.960045	34.608145	2:57:36N	34:36:29E	36NXJ7873327306	NA36-08	H	STM		KE,UG				KE,UG	N				KAMODO	Kamodo	Kamodo	KAMODO	Kamodo	Kamodo		2016-06-02	1,2,3,4,5	1			2016-06-03		
3	-2253498	-3110700	2.969427	34.618171	2:58:10N	34:37:05E	36NXJ7984628345	NA36-08	H	STM		KE,UG				KE,UG	N				LOCHWAI	Lochwai	Lochwai	LOCHWAI	Lochwai	Lochwai		2016-06-03	1,2,3,4,5	1			2016-06-03		
3	-2258161	-3116878	2.090475	34.822573	2:05:26N	34:49:21E	36NYH0270731179	NA36-08	H	STMI		KE,UG				KE,UG	N				NAKAYOT	Nakayot	Nakayot	NAKAYOT	Nakayot	Nakayot		2016-06-16	1,2,3,4,5	1			2016-06-16		
3	-2258124	-3116829	2.513734	34.938761	2:30:49N	34:56:20E	36NYH1557178005	NA36-08	H	STM		KE,UG				KE,UG	N				NAIYENAIATULELA	Naiyenai-Atulela	Naiyenai-Atulela	NAIYENAIATULELA	Naiyenai-Atulela	Naiyenai-Atulela		2016-06-07	1,2,3,4,5	1			2016-06-07		
3	-1729082	-2423655	2.878692	34.692654	2:52:43N	34:41:34E	36NXJ8814118324	NA36-08	H	STM		KE,UG				KE,UG	N				KAPEDORR	Kapedorr	Kapedorr	KAPEDORR	Kapedorr	Kapedorr		2016-06-07	1,2,3,4,5	1			2016-06-07		
