RC	UFI	UNI	LAT	LONG	DMS_LAT	DMS_LONG	MGRS	JOG	FC	DSG	PC	CC1	ADM1	POP	ELEV	CC2	NT	LC	SHORT_FORM	GENERIC	SORT_NAME_RO	FULL_NAME_RO	FULL_NAME_ND_RO	SORT_NAME_RG	FULL_NAME_RG	FULL_NAME_ND_RG	NOTE	MODIFY_DATE	DISPLAY	NAME_RANK	NAME_LINK	TRANSL_CD	NM_MODIFY_DATE	F_EFCTV_DT	F_TERM_DT
3	-2248999	-3105119	2.370644	34.919265	2:22:14N	34:55:09E	36NYH1342562177	NA36-08	T	HLL		KE,UG				KE,UG	N				KARIAMEKERIS	Kariamekeris	Kariamekeris	KARIAMEKERIS	Kariamekeris	Kariamekeris		2016-06-16	1,2,3,4,5	1			2016-06-16		
3	-2252056	-3108865	1.559751	34.922946	1:33:35N	34:55:23E	36NYG1393772498	NA36-12	T	HLL		KE,UG				KE,UG	N				KOKIPI	Kokipi	Kokipi	KOKIPI	Kokipi	Kokipi		2018-01-18	1,2,3,4,5	1			2018-01-18		
3	-2252046	-3108852	1.663562	34.991395	1:39:49N	34:59:29E	36NYG2154483986	NA36-12	T	HLL		KE,UG				KE,UG	N				KOKAS	Kokas	Kokas	KOKAS	Kokas	Kokas		2018-01-18	1,2,3,4,5	1			2018-01-23		
3	-2264378	-3124965	1.100858	34.559511	1:06:03N	34:33:34E	36NXG7352421723	NA36-12	T	PK		KE,UG				KE,UG	N				WAGAGAI	Wagagai	Wagagai	WAGAGAI	Wagagai	Wagagai		2018-01-18	1,2,3,4,5	1			2018-01-18		
3	-1731375	-2426420	4.088513	34.06835	4:05:19N	34:04:06E	36NXK1858751990	NB36-15	T	HLL		KE,UG				KE,UG	N				LOUKOMORUSOUTH	Loukomoru South	Loukomoru South	LOUKOMORUSOUTH	Loukomoru South	Loukomoru South		2018-05-14	1,2,3,4,5	1			2018-05-14		
3	-2258465	-3117285	3.107116	34.57624	3:06:26N	34:34:34E	36NXJ7516243564	NA36-04	T	PLN		KE,UG				KE,UG	N				NARONGOLEPLAIN	Narongole Plain	Narongole Plain	NARONGOLEPLAIN	Narongole Plain	Narongole Plain		2015-12-14	1,2,3,4,5	1			2015-12-14		
3	-2258209	-3116937	4.060976	34.093348	4:03:40N	34:05:36E	36NXK2136648949	NB36-15	T	HLL		KE	00			KE,UG	N				NAKWAMOSING	Nakwamosing	Nakwamosing	NAKWAMOSING	Nakwamosing	Nakwamosing		2018-05-14	1,2,3,4,5	1			2018-05-14		
3	-2258208	-3116934	4.034125	34.088883	4:02:03N	34:05:20E	36NXK2087445980	NB36-15	T	HLL		KE	00			KE,UG	N				NAKWAMOSING	Nakwamosing	Nakwamosing	NAKWAMOSING	Nakwamosing	Nakwamosing		2018-05-14	1,2,3,4,5	1			2018-05-14		
3	-2264484	-3117081	3.676431	34.455015	3:40:35N	34:27:18E	36NXK6159306493	NA36-03	T	HLL		KE,UG				KE,UG	N				NAMORUNGOLE	Namoru-Ngole	Namoru-Ngole	NAMORUNGOLE	Namoru-Ngole	Namoru-Ngole		2018-07-18	1,2,3,4,5	1			2018-07-18		
3	-2262744	-3122870	3.673017	34.457472	3:40:23N	34:27:27E	36NXK6186706116	NA36-03	T	PASS		KE,UG				KE,UG	N				SIRIAMPAKPASS	Siriam-Pak Pass	Siriam-Pak Pass	SIRIAMPAKPASS	Siriam-Pak Pass	Siriam-Pak Pass		2018-07-10	1,2,3,4,5	1			2018-07-10		
3	-1730659	-2425500	3.708553	34.39612	3:42:31N	34:23:46E	36NXK5504510034	NA36-03	T	PASS		KE,UG				KE,UG	N				KOMAKATAEPASS	Komakatae Pass	Komakatae Pass	KOMAKATAEPASS	Komakatae Pass	Komakatae Pass		2018-07-18	1,2,3,4,5	1			2018-07-18		
3	-3432468	-4870778	-1.383333	29.633333	1:23:00S	29:38:00E	35MQU9304346937	SA35-08	T	MTS		RW	00			UG	N				MUFUMBIROMOUNTAINS	Mufumbiro Mountains	Mufumbiro Mountains	MUFUMBIROMOUNTAINS	Mufumbiro Mountains	Mufumbiro Mountains		2002-02-07	1,2,3,4,5,6,7,8,9				2002-02-06		
3	-2252287	-3109168	1.55	34.883333	1:33:00N	34:53:00E	36NYG0953071415	NA36-12	T	HLL		KE	00			UG	N				KORENYANG	Korenyang	Korenyang	KORENYANG	Korenyang	Korenyang		1994-03-22	1,2,3,4,5	1			1993-09-01		
3	-2060930	-2858258	-1.266667	29.6	1:16:00S	29:36:00E	35MQU8934559850	SA35-08	T	MT		CG	00			UG	N				CHIESHIRE	Chieshire	Chieshire	CHIESHIRE	Chieshire	Chieshire		1994-03-22	1,2,3,4,5	1			1993-09-01		
3	-2060239	-2857398	2.366667	30.95	2:22:00N	30:57:00E	36NTH7203161758	NA36-05	T	HLL		CG	17			UG	N				ASINA	Asina	Asina	ASINA	Asina	Asina		2016-09-28	1,2,3,4,5				1993-09-01		
3	-2059145	-2856049	-1.2	29.583333	1:12:00S	29:35:00E	35MQU8749667228	SA35-08	T	MT		CG	11			UG	N				LUBONA	Lubona	Lubona	LUBONA	Lubona	Lubona		2016-09-29	1,2,3,4,5				1993-09-01		
3	-2060113	-2857237	2.333333	30.933333	2:20:00N	30:56:00E	36NTH7017158074	NA36-05	T	HLL		CG	00			UG	N				ACU	Acu	Acu	ACU	Acu	Acu		1994-03-22	1,2,3,4,5				1993-09-01		
3	-2049448	-2844021	-1.216667	29.6	1:13:00S	29:36:00E	35MQU8935065382	SA35-08	T	MT		CG	11			UG	N				GISHIO	Gishio	Gishio	GISHIO	Gishio	Gishio		2016-09-29	1,2,3,4,5				1993-09-01		
