Event,County,Date,Location,Deaths ,Injured ,Missing ,Houses Destroyed ,Houses Damaged ,Directly affected ,Indirectly Affected ,Relocated ,Evacuated ,Losses $USD ,Losses $Local ,Education centers ,Hospitals ,Damages in crops Ha. ,Lost Cattle ,Lost Goats,Lost Livestock,Damages in roads Mts ,GLIDEnumber ,Comments,Unique_ID,Unique_MA-DB,Comments_2
FLOOD, MARSABIT,20/04/2010, ,2, , ,120, , , , , ,,, , , ,,,, , , , ,,
FLOOD, MARSABIT,15/04/2010, Kinisa location, , , , , , , , , ,,, , , ,,,, , , , ,,
FLOOD, MARSABIT,15/04/2010, Goda, , , , , , , , , ,,, , , ,,,, , , , ,,
FLOOD, MARSABIT,15/04/2010, Waye, , , , , , , , , ,,, , , ,,,, , , , ,,
FLOOD, MARSABIT,15/04/2010, Madoadi, , , , , , , , , ,,, , , ,,,, , , , ,,
FLOOD, MARSABIT,15/04/2010, Anona, , , , , , , , , ,,, , , ,,,, , , , ,,
FLOOD, MARSABIT,15/04/2010, Bor, , , , , , , , , ,,, , , ,,,, , , , ,,
FLOOD, MARSABIT,15/04/2010, Nana, , , , , , , , , ,,, , , ,,,, , , , ,,
FLOOD, MARSABIT,07/03/2010, Chalbi, , , , , , , , , ,,, , , ,,,, , , , ,,
FLOOD, MARSABIT,07/03/2010, Shegen, , , , , , , , , ,,, , , ,,,, , , , ,,
FLOOD, MARSABIT,07/03/2010, Tigo, , , , , , , , , ,,, , , ,,,, , , , ,,
FLOOD, MARSABIT,07/03/2010, Burgabo, , , , , , , , , ,,, , , ,,,, , , , ,,
FLOOD, MARSABIT,04/03/2010, Dori village, , , , , , , ,66, ,,, , ,,280,,, , , , ,,
FLOOD, ISIOLO,04/03/2010, Garfara, , , ,200, , , , , ,,, , , ,,,, , , , ,,
FLOOD, TRANS-NZOIA,03/09/2010, Ndalala, , , ,40, , ,,, ,,,,,,,,, ,DR-2009-000197-KEN , , ,,
FLOOD, TRANS-NZOIA,03/09/2010, Soymining, , , ,40,, ,, , ,,,,,,,,, ,DR-2009-000197-KEN , , ,,
FLOOD, TURKANA,01/07/2010, Naoyatira, , , ,156,, ,, , ,,,,,,,,, ,FL-2010-000003-KEN , , ,,
FLOOD, TURKANA,01/07/2010, Nabwelynayang, , , ,187,, ,, , ,,,,,,,,, ,FL-2010-000003-KEN , , ,,
FLOOD, TURKANA,01/07/2010, Nakwakunyuk, , , ,289,, ,, , ,,,,,,,,, ,FL-2010-000003-KEN , , ,,
FLOOD, TURKANA,01/07/2010, Emanman, , , ,174,, ,, , ,,,,,,,,, ,FL-2010-000003-KEN , , ,,
FLOOD, TURKANA,01/07/2010, Lodopua, , , ,240,, ,, , ,,,,,,,,, ,FL-2010-000003-KEN , , ,,
FLOOD, TURKANA,01/07/2010, Nachibil, , , ,198,, ,, , ,,,,,,,,, ,FL-2010-000003-KEN , , ,,
FLOOD, TURKANA,01/07/2010, Lopii, , , ,874,, ,, , ,,,,,,,,, ,FL-2010-000003-KEN , , ,,
FLOOD, TURKANA,01/07/2010, Lotubae, , , ,334,, ,, , ,,,,,,,,, ,FL-2010-000003-KEN , , ,,
FLOOD, TURKANA,01/07/2010, Elelea, , , ,580,, ,, , ,,,,,,,,, ,FL-2010-000003-KEN , , ,,
FLOOD, TURKANA,01/07/2010, Nadoto, , , ,191,, ,, , ,,,,,,,,, ,FL-2010-000003-KEN , , ,,
FLOOD, KIAMBU,01/07/2010, Karai, , , , , , ,, , ,,,,,,,,, ,FL-2010-000003-KEN , , ,,
FLOOD, NAIROBI,01/07/2010, Ngando, , , , , , ,, , ,,,,, ,,,,,FL-2010-000003-KEN , , ,,
FLOOD, NAIROBI,01/07/2010, Kitisuru, , , , , , ,, , ,,,,, ,,,,,FL-2010-000003-KEN , , ,,
FLOOD, NAIROBI,01/07/2010, Uthiru, , , , , , ,, , ,,,,, ,,,, ,FL-2010-000003-KEN , , ,,
FLOOD, NAIROBI,01/07/2010, Kawangware, , , , , , ,, , ,,,,,,,,, ,FL-2010-000003-KEN , , ,,
FLOOD, KAJIADO,01/07/2010, Kitengela, , , , , , ,, , ,,,,,,,,, ,FL-2010-000003-KEN , , ,,
FLOOD, NAROK,01/07/2010, Mau, , , , , , ,, , ,,,,,,,,, ,FL-2010-000003-KEN , , ,,
FLOOD, MANDERA,15/10/2015, El-wak,1, , , , , ,20, , ,,, ,, ,,,,, ,"1 child was reported dead, and 20 people displaced. ", ,,
FLOOD, KIAMBU,27/10/2015, Elsavella primary School,, , , , , , , , ,,,, , ,,,, , ,one child died due the floods , ,,
FLOOD, TURKANA,06/01/2010, Nakwamoru Irrigation Scheme,, , ,,, ,,,,,,,,,,,,,FL-2010-000003-KEN , , ,,
FLOOD, TRANS-NZOIA,03/09/2010, Marinda, , , ,128,, ,, , ,,,,,,,,, ,DR-2009-000197-KEN ,. , ,,
FLOOD, TRANS-NZOIA,03/09/2010, Amuka, , , ,50,, ,, ,,,,,,,,,, ,DR-2009-000197-KEN , , ,,
FLOOD, TRANS-NZOIA,03/09/2010, Trans-Nzoia East - Saboti,1, , ,,, ,,,,,,,,,,,, ,DR-2009-000197-KEN ,100 families/ households bordering Sabwani River were affected and evacuated to higher grounds and 1 person drowned in the floods. , ,,
FLOOD, TRANS-NZOIA,03/09/2010, Namanjalala, , , ,300,, ,, , ,,,,,,,,, ,DR-2009-000197-KEN , , ,,
FLOOD, KIAMBU,11/07/2012, Mathangauka village,1, , , , , , , , ,,, , , ,,,, , , , ,,
FLOOD, HOMA BAY,28/06/2012, at sondu miriu river within miriu location,1, , , , , , , , ,,, , , ,,,, , , , ,,
FLOOD, KAJIADO,07/05/2012, at Saierisia village in Ewaso Kedong,2, , , , , , , , ,,, , , ,,,, , , , ,,
FLOOD, NYERI,13/05/2012, , , ,1, , , , , , ,,, , , ,,,,, ,"Division, Location ", ,,
FLOOD, KIRINYAGA,13/05/2012, River Thiba, , , , , , , , , ,,, , , ,,,,, ,bridge swept away , ,,
FLOOD, NYERI,13/05/2012," Kagumoini village,Ichamara sublocation", , , , ,5, , , , ,,, , , ,,,, , , , ,,
FLOOD, NYANDARUA,09/05/2012, Leshau, , , , ,1, , , , ,,, , , ,,,, , ,church swept away  , ,,
FLOOD, KIAMBU,09/05/2012," Nyanduma location,Matathia location,", , , , , , ,135, , ,,, , , ,,,,, ,bridge destroyed and a road , ,,
FLOOD, HOMA BAY,18/04/2012, Nyabura village Seka sub-loc,2, , , , ,3, , , ,,, , ,,,,,, ,"maize,bananas and cassava plants swept away and roads are impassable ", ,,
FLOOD, NAKURU,17/05/2012, the Rd between Suswa-Mahi mahiu, , , , , , , , , ,,, , , ,,,, , , , ,,
FLOOD, TRANS-NZOIA,03/09/2010, Endebess, , , ,150,, ,, , ,,,,, ,,,, ,DR-2009-000197-KEN , , ,,
FLOOD, TRANS-NZOIA,03/09/2010, Mifungu, , , ,20,, ,, , ,,,,,,,,, ,DR-2009-000197-KEN , , ,,
FLOOD, MERU,14/05/2002, Tharaka,2, , , , , ,, , ,,, , , ,,,, , , , ,,
FLOOD, MERU,14/05/2002, Meru North,1, , , , , ,, , ,,, , , ,,,, , , , ,,
FLOOD, MERU,14/05/2002, ,1, , , , , ,, , ,,, , , ,,,, , , , ,,
FLOOD, MERU,14/05/2002, ,10,3, , , , ,, , ,,, , , ,,,, , , , ,,
FLOOD, ISIOLO,24/05/2005, Gubatu, , , ,,, ,420,, ,,, , , ,,,, , ,70 Households were affected , ,,
FLOOD, ISIOLO,24/05/2005, , , , , , , ,1320, , ,,, , , ,,,, , ,220 Households were affected , ,,
FLOOD, ISIOLO,24/05/2005, Biliku Marara, , , ,,, ,240,, ,,, , , ,,,, , ,40 Households were affected , ,,
FLOOD, ISIOLO,24/05/2005, Eresa Boru, , , ,,, ,200,, ,,, , , ,,,, , ,200 Households were affected , ,,
FLOOD, ISIOLO,25/04/2005, Dololo Dakiye, , , ,,, ,240,, ,,, , , ,,,, , ,40 Households were affected , ,,
FLOOD, ISIOLO,24/05/2005, Dacha Bassa, , , ,,, ,720,, ,,, , , ,,,, , ,120 Households were affected , ,,
FLOOD, ISIOLO,24/05/2005, Biliku, , , ,,, ,300,, ,,, , , ,,,, , ,50 Households were affected , ,,
FLOOD, ISIOLO,24/05/2005, Malkagalla, , , ,,, ,1020,, ,,, , , ,,,, , ,170 Households were affected , ,,
FLOOD, ISIOLO,24/05/2005, Badana, , , ,,, ,420,, ,,, , , ,,,, , ,70 Households were affected , ,,
FLOOD, ISIOLO,24/05/2005, Korbesa, , , ,,, ,900,, ,,, , , ,,,, , ,150 Households were affected , ,,
FLOOD, BUSIA,14/05/2002, ,2, , , , , ,, , ,,, , , ,,,, , , , ,,
FLOOD, ISIOLO,24/05/2005, Saleti, , , ,, , ,420,, ,,, , , ,,,, , ,70 Households were affected , ,,
FLOOD, BUNGOMA,14/05/2002, ,1, , , , , ,, , ,,, , , ,,,, , , , ,,
FLOOD, KISUMU,07/09/2003, , , , , , , ,200, , ,,, , , ,,,, , ,200 households affected , ,,
FLOOD, SIAYA,07/09/2003, , , , , , , ,, , ,,, , ,4000,,,, , , , ,,
FLOOD, SIAYA,07/09/2003, , , , ,27,, ,365, , ,,, , ,500,,,, , ,365 families affected , ,,
FLOOD, SIAYA,07/09/2003, , , , ,, , ,21000, , ,,, , , ,,,,, , , ,,
FLOOD, BUSIA,11/12/2003, , , , , , , ,, , ,,, , , ,,,, , , , ,,
FLOOD, BUSIA,15/11/2008, Bunyala West, , , , , , ,5000, , ,,, , ,70,,,, , , , ,,
FLOOD, BUSIA,15/11/2008, Bunyala North, , , , , , ,4000, , ,,, , ,500,,,,, , , ,,
FLOOD, KAKAMEGA,13/11/2008, Bunyala South, , , , , , ,3000, , ,,, , ,250,,,, , , , ,,
FLOOD, BUSIA,01/11/2008, Khajula, , , ,,, ,3500,, ,,, , ,1200,,,,, , , ,,
FLOOD, KAKAMEGA,13/11/2008, Makunda, , , , , , ,3200, , ,,, , ,500,,,,, , , ,,
FLOOD, KITUI,11/11/2008, , , , , ,92, ,485, , ,,, , , ,,,, , , , ,,
FLOOD, ISIOLO,24/04/2005, Mata - Arba, , , ,,, ,540,, ,,, , ,,,,,, ,90 Households affected , ,,
FLOOD, ISIOLO,24/05/2005, Merti Town, , , ,,, ,1200,, ,,, , ,,,,,, ,200 Households were affected , ,,
FLOOD, ISIOLO,06/04/2006," Soricho, Garfassa, Malkadaka, Merti", , , ,,, ,3200,, ,,,, ,,,,,, ,Roads are impassable , ,,
FLOOD, HOMA BAY,24/04/2006, Kobuya East, , , , ,, ,131,, ,,, , ,,,,, , , , ,,
FLOOD, HOMA BAY,24/04/2006, Kobala, , , , ,, ,16,, ,,, , ,120,,,, , , , ,,
FLOOD, SIAYA,24/04/2006, , , , , ,, ,476,, ,,, , ,200,,,, , ,Sondu Miriu River's banks were overflown , ,,
FLOOD, SIAYA,24/04/2006, Usonga, , , , ,, ,8,, ,,, , ,300,,,, , ,Sondu Miriu River's banks were overflown , ,,
FLOOD, MIGORI,26/04/2006, Kabuto,4, , ,,, ,3000,107, ,,, , , ,,,, , , , ,,
FLOOD, WAJIR,28/10/2006, , , , ,, , ,210,, ,,, , ,,,,,, ,"210 families were affected, Buna Trading Centre, Buna Primary School and sorrounding areas are completely submerged in water ", ,,
FLOOD, MANDERA,07/10/2006, , , , ,, , ,,, ,,, , , ,,,, , ,Some manyattas were washed away , ,,
FLOOD, MARSABIT,27/10/2006, Moyale, , , , ,, ,9000,, ,,, ,, ,,,,, ,The main road from Nairobi and Moyale was rendered impassable , ,,
FLOOD, TURKANA,27/10/2006, Lodwar,2, , ,105, , ,5000,835, ,,,, ,,1000,,,, ,"Water levels were approximately 1 metre high, 3 primary schools were closed and a guest house was affected. 24 farms along the Turkwell river have [...] ", ,,
FLOOD, ISIOLO,27/10/2006, Central Division,4,2, ,355, , ,10000,,1775,,,, ,,,,,, , , ,,
FLOOD, TANA-RIVER,11/11/2008, Ijara-Garsen Road, , , , , , ,, , ,,, , , ,,,, , , , ,,
FLOOD, GARISSA,11/11/2008, Ijara-Garsen Road, , , , , , ,, , ,,, , , ,,,,, , , ,,
FLOOD, TANA-RIVER,27/10/2006, Hola - Garsen region, , , , , , ,, , ,,, , , ,,,,, , , ,,
FLOOD, KWALE,27/10/2006, Tiwi, , , ,21, , ,67, , ,,, , , ,,,, , ,67 families were rendered homeless , ,,
FLOOD, TANA-RIVER,07/11/2008, Hola, , , ,,10, ,, , ,,,, , ,,,, , , , ,,
FLOOD, KILIFI,27/10/2006," Kombeni, Ribe", , , ,15, , ,,, ,,,, , ,,,, , ,Learning institutions have been affected , ,,
FLOOD, TANA-RIVER,07/11/2008, Maramtu, , , ,2, , ,, , ,,,, , ,,,,, ,"One classroom, 3 farms washed away ", ,,
FLOOD, KWALE,27/10/2006, Mwereni,4, , , , , ,, , ,,, , ,,,,,, , , ,,
FLOOD, TANA-RIVER,07/11/2008, , , , , , , ,, , ,,, , , ,,,, , , , ,,
FLOOD, TANA-RIVER,07/11/2008, , , , , , , ,, , ,,, , , ,,,, , , , ,,
FLOOD, TANA-RIVER,07/11/2008, , , , , , , ,, , ,,, , , ,,,, , , , ,,
FLOOD, TANA-RIVER,07/11/2008, , , , , , , ,36233, , ,,, , , ,,,, , , , ,,
FLOOD, TAITA-TAVETA,07/11/2008," Kimorigo, Eldoro, Gotini, Lotima", , , ,, , ,100, , ,,, , , ,,,, , ,runoff water from Mt Kilimanjaro and overflow from River Lumi , ,,
FLOOD, KILIFI,27/10/2006, Jimba, , , , , , ,, , ,,, , , ,,,,, ,Tha main bridge linking Mazeras to Kaloleni has been washed away , ,,
FLOOD, MOMBASA,27/10/2006, Mikombani/ Mikanjuni, , , ,5, , ,,, ,,,,,,,,,, ,5 families were left homeless , ,,
FLOOD, MANDERA,07/11/2008, Kalmalab, , , , , , ,, , ,,, , , ,,,, , , , ,,
FLOOD, MANDERA,07/11/2008, Yabicho, , , , , , ,, , ,,, , , ,,,, , , , ,,
FLOOD, MANDERA,07/11/2008, Shantole, , , , , , ,, , ,,, , , ,,,, , , , ,,
FLOOD, MANDERA,07/11/2008, Girrisa, , , , , , ,, , ,,, , , ,,,, , , , ,,
FLOOD, MANDERA,07/11/2008, Sala, , , , , , , , , ,,, , , ,,,, , , , ,,
FLOOD, MANDERA,07/11/2008, Qumbiso, , , , , , ,, , ,,, , , ,,,, , , , ,,
FLOOD, MANDERA,07/11/2008, Kalicha, , , , , , ,, , ,,, , , ,,,, , , , ,,
FLOOD, MANDERA,07/11/2008, , , , , , , ,, , ,,, , , ,,,, , , , ,,
FLOOD, MANDERA,07/11/2008, , , , , , , ,, , ,,, , , ,,,, , , , ,,
FLOOD, MANDERA,07/11/2008, , , , , , , ,, , ,,, , , ,,,, , , , ,,
FLOOD, MANDERA,07/11/2008, , , , , , , ,1200, , ,,, , ,1550,,,, , ,1200 families affected , ,,
FLOOD, BUSIA,21/08/2007, Rugunga, , , ,,, ,,,,,,, ,,,,,, , , ,,
FLOOD, TANA-RIVER,01/03/2012, , , , ,,,,, ,,,, , , ,,,, ,FF-2012-000062-KEN , , ,,
FLOOD, TANA-RIVER,01/03/2012, , , , ,,,,, ,,,, , , ,,,, ,FF-2012-000062-KEN , , ,,
FLOOD, TANA-RIVER,01/03/2012, , , , ,,,,, ,,,, , , ,,,, ,FF-2012-000062-KEN , , ,,
FLOOD, KILIFI,01/03/2012, , , , ,,,,, ,,,, , , ,,,, , , , ,,
FLOOD, NAKURU,01/03/2012, , , , ,,,,, ,,,, , , ,,,, ,FF-2012-000062-KEN , , ,,
FLOOD, KIAMBU,01/03/2012, , , , ,,,,, ,,,, , , ,,,, ,FF-2012-000062-KEN , , ,,
FLOOD, MACHAKOS,01/03/2012, Athi River, , , ,,, , , , ,,, , , ,,,, ,FF-2012-000062-KEN , , ,,
FLOOD, KAJIADO,01/03/2012, Kitengela, , , ,,, , , , ,,, , , ,,,, ,FF-2012-000062-KEN , , ,,
FLOOD, KAJIADO,01/03/2012, , , , ,,, , , , ,,, , , ,,,, ,FF-2012-000062-KEN , , ,,
FLOOD, KISUMU,01/03/2012, , , , ,,, , , , ,,, , , ,,,, ,FF-2012-000062-KEN , , ,,
FLOOD, MIGORI,01/03/2012, , , , ,,, , , , ,,, , , ,,,, ,FF-2012-000062-KEN , , ,,
FLOOD, BUSIA,01/03/2012, , , , ,,, , , , ,,, , , ,,,, ,FF-2012-000062-KEN , , ,,
FLOOD, HOMA BAY,01/03/2012, , , , ,,, , , , ,,, , , ,,,, ,FF-2012-000062-KEN , , ,,
FLOOD, KISUMU,01/03/2012, , , , ,,,,, ,,,, , , ,,,, ,FF-2012-000062-KEN , , ,,
FLOOD, HOMA BAY,01/03/2012, , , , ,,,,, ,,,, , , ,,,, ,FF-2012-000062-KEN , , ,,
FLOOD, MURANGA,14/05/2002, ,6,4, , , , ,, , ,,, , , ,,,, , , , ,,
FLOOD, KISII,14/05/2002, ,1, , , , , ,, , ,,, , , ,,,, , , , ,,
FLOOD, MIGORI,14/05/2002, ,1, , , , , ,, , ,,, , , ,,,, , , , ,,
FLOOD, MIGORI,14/05/2002, ,1, , , , , ,, , ,,, , , ,,,, , , , ,,
FLOOD, KISUMU,14/05/2002, ,3,4, , , , ,, , ,,, , , ,,,, , , , ,,
FLOOD, SIAYA,15/05/2002, ,3, , , , , ,, , ,,, , , ,,,, , , , ,,
FLOOD, MACHAKOS,14/05/2002, ,1, , , , , ,, , ,,, , , ,,,, , , , ,,
FLOOD, EMBU,14/05/2002, ,6, , , , , ,, , ,,, , , ,,,, , , , ,,
FLOOD, KITUI,14/05/2002, ,1, , , , , ,, , ,,, , , ,,,, , , , ,,
FLOOD, KITUI,14/05/2002, ,1, , , , , ,, , ,,, , , ,,,, , , , ,,
FLOOD, MOMBASA,27/10/2006," Mishomoni, Kisauni, Bombolulu", , , ,2, , ,60,, ,,,,, ,,,,, ,60 families were affected , ,,
FLOOD, BUSIA,21/08/2007, Bubamba, , , ,, , ,384,, ,,,, ,,,,,, , , ,,
FLOOD, MANDERA,07/11/2008, , , , , , , ,153, , ,,, , , ,,,, , ,"people affected by diarrhoeal disease, drinking water coontaminated ", ,,
FLOOD, MOMBASA,01/06/2008," Majengo Ya Simba, Sparki A and B, Tudor and Mburukenge",1, , ,200, , ,300, , ,,, , , ,,,, , ,Person killed as a result of a Nakumatt wall collapsed on him , ,,
FLOOD, TANA-RIVER,01/06/2008, Tana Delta, , , , ,1874, ,13500, , ,,, , ,6000,,,, , , , ,,
FLOOD, LAMU,01/06/2008, , , , , ,, ,4000, , ,,, , ,,,,, , , , ,,
FLOOD, WAJIR,07/11/2008, Wajir, , , ,, , , , , ,,, , , ,,,,, ,6000 wells and the main water supply contaminated , ,,
FLOOD, WAJIR,07/11/2008, Mansa, , , , , , ,, , ,,, , , ,,,, , , , ,,
FLOOD, KILIFI,01/06/2008, , ,17, , ,4, ,, , ,,, , , ,,,, , ,Roof of 4 houses blown off and one wall damaged , ,,
FLOOD, WAJIR,07/11/2008, Ogomti, , , , , , ,, , ,,, , , ,,,, , , , ,,
FLOOD, WAJIR,07/11/2008, Danaba, , , , , , ,, , ,,, , , ,,,, , , , ,,
FLOOD, WAJIR,07/11/2008, Arbijahan, , , , , , ,, , ,,, , , ,,,, , , , ,,
FLOOD, TANA-RIVER,01/06/2008, Hola - Garsen Road, , , , , , , , , ,,, , , ,,,,, ,Hola - Garsen road has been destroyed and people and cars stranded , ,,
FLOOD, KWALE,01/06/2008, Kinondo, , , ,4, , ,46, , ,,, , , ,,,, , , , ,,
FLOOD, KISUMU,22/05/2012, ogembo, ,6, , , , , , , ,,, , , ,,,, , , , ,,
FLOOD, NAIROBI,13/05/2012, near Mathare river,1, , , , , , , , ,,, , , ,,,, , , , ,,
FLOOD, MERU,25/06/2012, Nkubu-Mitunguu Rd,1, , , , , , , , ,,, , , ,,,, , , , ,,
FLOOD, KAKAMEGA,14/05/2002, ,1, , , , , ,, , ,,, , , ,,,, , , , ,,
FLOOD, LAIKIPIA,14/05/2002, Nanyuki,1, , , , , ,, , ,,, , , ,,,, , , , ,,
FLOOD, BARINGO,14/05/2002, ,10, , , , , ,, , ,,, , , ,,,, , , , ,,
FLOOD, KERICHO,14/05/2002, ,1, , , , , ,, , ,,, , , ,,,, , , , ,,
FLOOD, NAKURU,14/05/2002, ,1, , , , , ,, , ,,, , , ,,,, , , , ,,
FLOOD, KEIYO-MARAKWET,14/05/2002, ,1, , , , , ,, , ,,, , , ,,,, , , , ,,
FLOOD, TURKANA,14/05/2002, ,3, , , , , ,, , ,,, , , ,,,, , , , ,,
FLOOD, NAIROBI,14/05/2002, Kilimani,1, , , , , ,, , ,,, , , ,,,, , , , ,,
FLOOD, NAIROBI,14/05/2002, ,6, , , , , ,, , ,,, , , ,,,, , , , ,,
FLOOD, NAIROBI,14/05/2002, Buruburu,3, , , , , ,, , ,,, , , ,,,, , , , ,,
FLOOD, KIRINYAGA,14/05/2002, Kerugoya,1, , , , , ,, , ,,, , , ,,,, , , , ,,
FLOOD, KIAMBU,14/05/2002, ,1, , , , , ,, , ,,, , , ,,,, , , , ,,
FLOOD, MURANGA,14/05/2002, ,1, , , , , , , , ,,, , , ,,,, , , , ,,
FLOOD, KIAMBU,14/05/2002, ,1, , , , , ,, , ,,, , , ,,,, , , , ,,
FLOOD, BUSIA,13/11/2008," Lugari, Mukobola, Siginga, mundere", , , ,3, , ,40679,2295, ,,, , ,,,,, , ,"3 schools submerged, ground water submerged, and surface sources contaminated ", ,,
FLOOD, MANDERA,13/11/2008, Mandera East, , , , , , ,2610, , ,,54649746, , ,495.7,,,, , ,88km earth canals submerged 8.5km concrete submerged 9.2M worth farm inputs destroyed , ,,
FLOOD, BUSIA,01/01/2005, , , , , , , ,, , ,,, , , ,,,, , , , ,,
FLOOD, KAKAMEGA,01/01/2005, , , , , , , ,, , ,,, , , ,,,, , , , ,,
FLOOD, KILIFI,06/01/2010, Baricho and Dakacha villages, , , , , , ,1200, , ,,,, , ,,,,, , , ,,
FLOOD, KILIFI,06/01/2010, , , , , ,, ,49,, ,,, , , ,,,, , ,9 families were left homeless after houses were submerged in floods , ,,
FLOOD, KILIFI,06/01/2010, Ganda, , , , , , ,200, , ,,, , , ,,,,, ,A big trench was created across the road , ,,
FLOOD, TAITA-TAVETA,06/01/2010, Bura - Hirimani, , , , ,, ,5000,, ,,, , , ,,,,, , , ,,
FLOOD, WEST POKOT,04/01/2010, , , , , , , ,29, , ,,, , , ,,,, , , , ,,
FLOOD, BUSIA,27/04/2010, Aremit and Akoreet Locations, , , , , , ,12000, , ,,, , ,,,,, , , , ,,
FLOOD, TURKANA,09/03/2010, Turkana East, , , , ,, ,300,,,,, , ,,,,, , ,More than 300 households moved to higher ground , ,,
FLOOD, MARSABIT,09/03/2010," Burgabo, Tigo, Bubisa, Shengeni and Chalbi", , , ,420, , ,,, ,,, , , ,,,, , , , ,,
FLOOD, MARSABIT,09/03/2010, Dori village, , , ,, , ,66,, ,,,, ,,80,,, , ,Heavy rains blew off roof tops at Anone Primary School , ,,
FLOOD, SAMBURU,15/05/2010, Samburu East,10, , , , , ,50000, , ,,, , , ,,,, , ,Larata - wamba - Maralal road 200km destroyed Serolit junction - Tonyowari - Dome road 60km destroyed Wamba - Nerihilo - Baragoi road 206km destroyed , ,,
FLOOD, KISUMU,15/05/2010, Nyakach, , , , ,, ,20000,, ,,, , , ,,,, , , , ,,
FLOOD, KITUI,13/05/2010, , , , , , , ,24, , ,,, , ,,,,, , ,The water level of river Tana around Mwingi raised marooning 24 people who were conducting farming activities on the islands in the area , ,,
FLOOD, KISUMU,02/05/2010, Nyakwero and Nyawalo, , , ,215, , ,1290,, ,,, , , ,,,, , , , ,,
FLOOD, HOMA BAY,05/05/2010, Rachuonyo North, , , ,4, , ,2234, ,2234,,, , , ,,,, , ,Sondu Miriu River burst its banks , ,,
FLOOD, MARSABIT,03/05/2010," Mado, Adhi, Waye, Anona", , , ,280, , ,,, ,,, , , ,,,,, ,70 heavy vehicles were stranded , ,,
FLOOD, ISIOLO,13/11/2008, , , , , , , ,, , ,,, , , ,,,,, , , ,,
FLOOD, LAIKIPIA,30/08/2010, Kanyuka Dam, , , , , , ,, , ,,, , ,,,,,, ,"The dam's spillway is eroded making fee flow of water difficult. The embankment has become weak, most sections are worn out and the impoundment [...] ", ,,
FLOOD, LAIKIPIA,30/08/2010, Gatirima Dam, , , , , , ,, , ,,, , ,,,,,, ,"Spillway channel is completely chocked and 3 culverts cannot accomodate the outflow, the dam is overflowing on the embankment which could break due [...] ", ,,
LAND SLIDE, WEST POKOT,10/11/2008, ,14,16, ,,, ,500, , ,,, , ,1,,,,, ,Captured in MA-DB, ,,MA-DB-0113
FLOOD, LAIKIPIA,30/08/2010, Kamukunji Dam, , , , , , ,, , ,,, , , ,,,,, ,Water overflowed on the embankment since the culvert used as the spillway was chocked hence ripping off the downstream end , ,,
FLOOD, MAKUENI,13/11/2008, Kambu,2, , , , , , , , ,,, , , ,,,, , , , ,,
FLOOD, MACHAKOS,13/11/2008, ,10, , , , , , , , ,,, , , ,,,, , , , ,,
FLOOD, MURANGA,13/11/2008, Giko village,1, , , , , ,,20, ,,, , , ,,,, , ,20 families relocated , ,,
FLOOD, TRANS-NZOIA,13/02/2012, Namanjalala village, , , , ,200, ,3000, , ,,, , , ,,,, , , , ,,
FLOOD, TRANS-NZOIA,13/11/2008, , , , , , , ,29570, , ,,, , ,1800,,,, , , , ,,
FLOOD, TURKANA,05/09/2011, Turkana, , , , ,, ,, , ,,, , , ,,,,, , , ,,
FLOOD, VIHIGA,15/10/2015, Mawazo and Magaka primary school, , , , , , ,, , ,,,, , ,,,, , ,"14 toilets sunk, classrooms were flooded ", ,,
FLOOD, KISUMU,15/10/2015, Kisumu, , , ,20, , , , , ,,, , ,,,,, , ,"No injuries and deaths were reported.45 acre of rice and maize farm were destroyed, 20 homes were displaced. ", ,,
FLOOD, NAROK,15/11/2015, Talek village,3, , , , , , , , ,,,, , ,,,, , ,Two children and one adult died due to the heavy down pour.  , ,,
FLOOD, MANDERA,15/10/2015, El-wak,1, , , , , , , , ,,,, , ,,,, , ,One children died due to the flash floods , ,,
FLOOD, KISII,18/08/2009, Riakworo High School, , , , , , ,6, , ,,, ,, ,,,, ,IAKW , , ,,
FLOOD, GARISSA,07/11/2008," Lagdera, Bura, Dadaab roads", , , , , , ,, , ,,, , , ,,,,, , , ,,
FLOOD, WAJIR,07/11/2008, , , , , , , ,, , ,,, , , ,,,, , , , ,,
FLOOD, WAJIR,07/11/2008, , , , , , , ,, , ,,, , , ,,,, , , , ,,
FLOOD, WAJIR,14/02/2012, , , , , , , ,, , ,,, , , ,,,, , , , ,,
FLOOD, WAJIR,14/02/2012, , , , , , , ,, , ,,, , , ,,,, , , , ,,
FLOOD, WAJIR,07/11/2008, , , , , , , ,, , ,,, , , ,,,, , , , ,,
FLOOD, WAJIR,07/11/2008, , , , , , , ,, , ,,, , , ,,,, , , , ,,
FLOOD, WAJIR,07/11/2008, , , , , , , ,80000,400, ,,, , , ,,,, , , , ,,
FLOOD, KILIFI,06/01/2010," Kipangangeni, Majahazini, Mwangatini villages", , , ,, , ,419,, ,,, , , ,,,,, , , ,,
FLOOD, GARISSA,07/11/2008, Gurufa village, , , , ,50, ,, , ,,, , ,,2000,,, , , , ,,
FLOOD, GARISSA,07/11/2008, Dujis, , , , , , ,, , ,,, , , ,,,, , , , ,,
FLOOD, GARISSA,07/11/2008, , , , , , , ,, , ,,, , , ,,,, , , , ,,
FLOOD, SAMBURU,14/11/2008, , , , , , , ,, , ,,, , , ,,,, , , , ,,
FLOOD, ISIOLO,14/11/2008, , , , , , , ,, , ,,, , , ,,,, , , , ,,
