,place_id,place_name,place_address,place_lat,place_long,phone_number,website,url,country,adm_lvl_1,adm_lvl_2
0,ChIJT8Hg2qRF2BgRLCJ_-drPpZo,Malawi Red Cross - Blantyre,"Blantyre, Malawi",-15.8009101,35.0193566,unknown,unknown,https://maps.google.com/?cid=11143541392393839148,Malawi,Southern Region,Blantyre
1,ChIJMeyO5L1F2BgRoIseSZS0oQI,Red Cross Church Of Christ,"Blantyre, Malawi",-15.80177,35.0159547,unknown,unknown,https://maps.google.com/?cid=189631208301169568,Malawi,Southern Region,Blantyre
2,ChIJFUNZZZZF2BgRl2gSNbgAg7A,Church of Christ at Red Cross,"Blantyre, Malawi",-15.8009174,35.0188706,unknown,unknown,https://maps.google.com/?cid=12719010563788794007,Malawi,Southern Region,Blantyre
3,ChIJN489SETTIRkRR87I17zEtNk,Malawi Red Cross Society,"Lilongwe, Malawi",-13.9550591,33.7818888,unknown,https://www.redcross.mw/,https://maps.google.com/?cid=15687379717391437383,Malawi,Central Region,Lilongwe
4,ChIJR0WBWIHTIRkRXsnjmXZJssw,Malawi Red Cross Office- Lilongwe Division,"Off, M1, Lilongwe, Malawi",-14.0165536,33.7881876,unknown,unknown,https://maps.google.com/?cid=14749932503328606558,Malawi,Central Region,Lilongwe
