"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,158,"NLD","Netherlands",1,"Drenthe",1,"Aa en Hunze","Gemeente","Municipality",NA,NA
2,158,"NLD","Netherlands",1,"Drenthe",2,"Assen","Gemeente","Municipality",NA,NA
3,158,"NLD","Netherlands",1,"Drenthe",3,"Borger-Odoorn","Gemeente","Municipality",NA,NA
4,158,"NLD","Netherlands",1,"Drenthe",4,"Coevorden","Gemeente","Municipality",NA,NA
5,158,"NLD","Netherlands",1,"Drenthe",5,"De Wolden","Gemeente","Municipality",NA,NA
6,158,"NLD","Netherlands",1,"Drenthe",6,"Emmen","Gemeente","Municipality",NA,NA
7,158,"NLD","Netherlands",1,"Drenthe",7,"Hoogeveen","Gemeente","Municipality",NA,NA
8,158,"NLD","Netherlands",1,"Drenthe",8,"Meppel","Gemeente","Municipality",NA,NA
9,158,"NLD","Netherlands",1,"Drenthe",9,"Midden-Drenthe","Gemeente","Municipality",NA,"Middenveld"
10,158,"NLD","Netherlands",1,"Drenthe",10,"Noordenveld","Gemeente","Municipality",NA,NA
11,158,"NLD","Netherlands",1,"Drenthe",11,"Tynaarlo","Gemeente","Municipality",NA,"Zuidlaren"
12,158,"NLD","Netherlands",1,"Drenthe",12,"Westerveld","Gemeente","Municipality",NA,NA
13,158,"NLD","Netherlands",2,"Flevoland",13,"Almere","Gemeente","Municipality",NA,NA
14,158,"NLD","Netherlands",2,"Flevoland",14,"Dronten","Gemeente","Municipality",NA,NA
15,158,"NLD","Netherlands",2,"Flevoland",15,"Lelystad","Gemeente","Municipality",NA,NA
16,158,"NLD","Netherlands",2,"Flevoland",16,"Noordoostpolder","Gemeente","Municipality",NA,NA
17,158,"NLD","Netherlands",2,"Flevoland",17,"Urk","Gemeente","Municipality",NA,NA
18,158,"NLD","Netherlands",2,"Flevoland",18,"Zeewolde","Gemeente","Municipality",NA,NA
19,158,"NLD","Netherlands",3,"Friesland",19,"Achtkarspelen","Gemeente","Municipality",NA,NA
20,158,"NLD","Netherlands",3,"Friesland",20,"Ameland","Gemeente","Municipality",NA,NA
21,158,"NLD","Netherlands",3,"Friesland",21,"Boarnsterhim","Gemeente","Municipality",NA,NA
22,158,"NLD","Netherlands",3,"Friesland",22,"Bolsward","Gemeente","Municipality",NA,NA
23,158,"NLD","Netherlands",3,"Friesland",23,"Dantumadeel","Gemeente","Municipality",NA,NA
24,158,"NLD","Netherlands",3,"Friesland",24,"Dongeradeel","Gemeente","Municipality",NA,NA
25,158,"NLD","Netherlands",3,"Friesland",25,"Ferwerderadiel","Gemeente","Municipality",NA,"Ferwerderadeel"
26,158,"NLD","Netherlands",3,"Friesland",26,"Franekeradeel","Gemeente","Municipality",NA,NA
27,158,"NLD","Netherlands",3,"Friesland",27,"Gaasterlân-Sleat","Gemeente","Municipality",NA,NA
28,158,"NLD","Netherlands",3,"Friesland",28,"Harlingen","Gemeente","Municipality",NA,NA
29,158,"NLD","Netherlands",3,"Friesland",29,"Heerenveen","Gemeente","Municipality",NA,NA
30,158,"NLD","Netherlands",3,"Friesland",30,"Het Bildt","Gemeente","Municipality",NA,NA
31,158,"NLD","Netherlands",3,"Friesland",31,"Kollumerland c.a.","Gemeente","Municipality",NA,"Kollumerland en Nieuwkruisland"
32,158,"NLD","Netherlands",3,"Friesland",32,"Leeuwarden","Gemeente","Municipality",NA,NA
33,158,"NLD","Netherlands",3,"Friesland",33,"Leeuwarderadeel","Gemeente","Municipality",NA,NA
34,158,"NLD","Netherlands",3,"Friesland",34,"Lemsterland","Gemeente","Municipality",NA,NA
35,158,"NLD","Netherlands",3,"Friesland",35,"Littenseradiel","Gemeente","Municipality",NA,NA
36,158,"NLD","Netherlands",3,"Friesland",36,"Menaldumadeel","Gemeente","Municipality",NA,NA
37,158,"NLD","Netherlands",3,"Friesland",37,"Nijefurd","Gemeente","Municipality",NA,NA
38,158,"NLD","Netherlands",3,"Friesland",38,"Ooststellingwerf","Gemeente","Municipality",NA,NA
39,158,"NLD","Netherlands",3,"Friesland",39,"Opsterland","Gemeente","Municipality",NA,NA
