|location|date|damage_livelihood|damage_general|people_affected|people_dead|houses_affected|livelihood_affected|infrastructures_affected|infrastructures_mentioned
4692|Lundazi|||||||5 goat||
4693|Zambia|||||||||broad
4694|Zambia||||49 |||||
4695|Zambia|||||||||strain
4696|Zambia|2005/06 MAR|||32 |||||
4697|Zambia|2005/06 MAR|||33 |||||
4698|Zambia|2005/06 MAR||||||||Market
4699|Zambia|2005/06 MAR|||172 |||||
4700|Zambia|2005/06 MAR|||172 |||||
4701|Zambia|2004/05, March 2005, of March 2005, 2004/5, 2004/05|||7436 |||||
4702|Zambia|July 2005, February 2006|||1232661 |||||
4703|Zambia||||9 |||||
4704|Zambia|||||||||dams
4705|Zambia|||||||||dams
4706|Zambia|||||||||Square
4707|Zambia||||66 |||||
4708|Zambia||||66 |||||
4709|Zambia|||||||||market
4710|Gwembe|July 2004, 2005, May 2005 to, 2005, 2004/05, 2003/04, 2004/05, to 2004/05||||||||markets
4711|Gwembe|July 2004, 2005, May 2005 to, 2005, 2004/05, 2003/04, 2004/05, to 2004/05||||||||markets
4712|Lusaka|2003/04, April 2005. At, 2004/05, of 2004, 2000, 2004, September 2004||||||||market
4713|Zambia|11 2.5||||||||square
4714|Mazabuka|1995, 2002, of 1995, of 2000/01, 2001/02, by April 2005, 2004/05||||||||markets
4715|Mazabuka|1995, 2002, of 1995, of 2000/01, 2001/02, by April 2005, 2004/05||||||||markets
4716|Zambia|2001, 2002, 2001|||570000 |||||
4717|Lusaka|1999|||2000000 |||||
4718|Lusaka|1999||||||||school
4719|Lusaka|1999||||||||school
4720|Lusaka|1999||||||||school
4721|Eastern|February 2002, 2003||||||||schools
4722|Eastern|February 2002, 2003||||||||schools
4723|Eastern|February 2002, 2003||||||||school
4724|Eastern|February 2002, 2003||||||||school
4725|Eastern|February 2002, 2003||||||||school
4726|Eastern|February 2002, 2003||||||||schools
4727|Eastern|February 2002, 2003||||||||schools
4728|Eastern|February 2002, 2003||||||||school
4729|Eastern|February 2002, 2003||||||||school
4730|Eastern|February 2002, 2003||||||||school
4731|Zambia|2004/05, 2005, 2005/06, 2004/05, 2003/04, 2004/05||||||||home
4732|Lusaka|||||||2 crop||
4733|Kasempa|2005, 2002/03 mar, 2004/05, to 2001/02, 2004/05 mar|||||||200203 market|
4734|Zambia||||5 |||||
4735|Kazungula|May 2005|||7 |||||
4736|Gwembe|to April 2004||||||||home
4737|Gwembe|to April 2004|||9 |||||
4738|Luano||||1 |||||
4739|Luano|||||||||school
4740|Luano|||||||||school
4741|Zambia|||||||||home
4742|Zambia|||||||||road
4743|Zambia|||||||||Market
4744|Zambia|2003, 2004, April 2005||||||||market
4745|Zambia|2003, 2004, April 2005||||||||markets
4746|Zambia|2003, 2004, April 2005||||||||markets
4747|Zambia|2003, 2004, April 2005||||||||market
4748|Zambia|||||||||school
4749|Zambia|||||||||school
4750|Mambwe||||150 |||||
4751|Luano|||||||||school
4752|Zambia|||||||||hospital
4753|Zambia|||||||||clinic
