,place_id,place_name,place_address,place_lat,place_long,phone_number,website,url,country,adm_lvl_1,adm_lvl_2
2,ChIJxyUwGdWY7jkRlxGKAZk0rOE,Red Cross Office Sukhipur,"Sukhipur 56500, Nepal",26.7051723,86.3391431,+977 984-2828359,unknown,https://maps.google.com/?cid=16261430186288484759,Nepal,Eastern Development Region,Sagarmatha
6,ChIJwV6ztBQh7DkREY-sHn1RR-8,Nepal Red Cross Siraha Branch,"चोहरवा सिराहा माडर रोड, Siraha 56500, Nepal",26.6575276,86.2098372,+977 33-520095,http://www.nrcs.org/,https://maps.google.com/?cid=17241839296238620433,Nepal,Eastern Development Region,Sagarmatha
9,ChIJ43hSxoGV7DkRmcsyBDfShCI,Nepal Red Cross Society,"Bus Station Road, Gaur 44500, Nepal",26.766701,85.2756026,unknown,unknown,https://maps.google.com/?cid=2487344027950828441,Nepal,Central Development Region,Narayani
10,ChIJKeQmAj507zkRheDnwILv0o8,RED CROSS,"Biratnagar 56613, Nepal",26.4644209,87.2863773,unknown,unknown,https://maps.google.com/?cid=10363609037394141317,Nepal,Eastern Development Region,Koshi
11,ChIJhTaOsw1s7zkRWuOqPr0bpUQ,Red-Cross Chowk,"Taltalaiya Rd, Itahari 56705, Nepal",26.6678341,87.2854168,+977 981-7062121,unknown,https://maps.google.com/?cid=4946390265350513498,Nepal,Eastern Development Region,Koshi
13,ChIJHxMyQ6cU7zkR78tcO6PC81E,Red Cross Jhumka,"Ramdhuni Bhasi 56709, Nepal",26.6759421,87.20812719999999,unknown,unknown,https://maps.google.com/?cid=5905277542744247279,Nepal,Eastern Development Region,Koshi
14,ChIJa_RaplkR7zkRMsWuFZa-R4s,Red Cross Building,"Dumraha 56710, Nepal",26.6593315,87.1390467,unknown,unknown,https://maps.google.com/?cid=10036199846436586802,Nepal,Eastern Development Region,Koshi
15,ChIJZVkFlCUX7zkRMFg71oTLpCk,"Nepal Red Cross Society, Prakashpur Subchapter","Prakashpur 56713, Nepal",26.6858737,87.0958607,+977 985-2048785,unknown,https://maps.google.com/?cid=3000747023125927984,Nepal,Eastern Development Region,Koshi
17,ChIJrTJ9Ujl07zkROuV8lhJFgnE,Nepal Red Cross Society Regional Blood Transfusion Service Center,"Rangeli Road, Biratnagar 56613, Nepal",26.4584816,87.2861363,+977 21-423326,unknown,https://maps.google.com/?cid=8179175819394737466,Nepal,Eastern Development Region,Koshi
18,ChIJ7_m9eQeV7DkR1wTyARajJkY,Mudwalwa Red Cross,"Mudwalawa 44500, Nepal",26.7658215,85.3061077,unknown,unknown,https://maps.google.com/?cid=5054906946687206615,Nepal,Central Development Region,Narayani
0,ChIJwSiUkAAZ6zkRcjn9KTXY3uI,Nepal Red Cross Society Kathmandu District Chapter,"Bag Bazar Sadak, Kathmandu 44605, Nepal",27.706125,85.3169209,+977 1-4229410 ext. 4219131,http://ktmredcross.org.np/,https://maps.google.com/?cid=16347741420250806642,Nepal,Central Development Region,Bagmati
1,ChIJaRdMSf0h7DkRn4z330KxWAY,Nepal Redcross Siraha Society,"Siraha, Nepal",26.6575677,86.2098395,+977 33-520095,http://www.nrcs.org/,https://maps.google.com/?cid=457310262961605791,Nepal,Eastern Development Region,Sagarmatha
3,ChIJiXX9S-gZ6zkRtWe4Eg7Fs6M,Nepal Red Cross Society Ambulance Service,"Patan 44600, Nepal",27.673394,85.33588189999999,+977 1-5545666,unknown,https://maps.google.com/?cid=11795988513247750069,Nepal,Central Development Region,Bagmati
7,ChIJ63bbBVQY6zkRkNGOdVICtFs,Nepal Red Cross Society Ganabahal Sub-Chapter,"Hanumansthan Marg, Kathmandu 44600, Nepal",27.6995866,85.3089935,unknown,http://nrcsganabahal.blogspot.com/,https://maps.google.com/?cid=6607909106442228112,Nepal,Central Development Region,Bagmati
9,ChIJsf8uzvu77DkRl_BgcLepwaY,Red Cross Society Subchapter,"Simraungadh 44400, Nepal",26.8883663,85.1158737,unknown,unknown,https://maps.google.com/?cid=12016071886130704535,Nepal,Central Development Region,Narayani
10,ChIJAR2HJ2EY6zkRdqevtjvs5f8,Nepal Red Cross Society National Headquarter,"Red Cross Rd, Kathmandu 44614, Nepal",27.6990573,85.29063909999999,+977 1-4270650,http://www.nrcs.org/,https://maps.google.com/?cid=18439403990550554486,Nepal,Central Development Region,Bagmati
11,ChIJI9wqtekZ6zkRWD-luF3fqNM,Nepal Red Cross Society Lalitpur District Chapter,"बालकुमारी 44700, Nepal",27.6734228,85.3355879,+977 1-5186065,unknown,https://maps.google.com/?cid=15251685731712974680,Nepal,मध्यमाञ्चल,बागमती
12,ChIJFWice28a6zkRy14FiDCNo3E,Nepal Red Cross Society,"Madhyapur Thimi 44800, Nepal",27.675945,85.385576,+977 1-6612266,http://www.nrcs.org/,https://maps.google.com/?cid=8188543787069693643,Nepal,Central Development Region,Bagmati
13,ChIJ9SBz9l6L6zkRA5udv56bT1Q,Nepal Red Cross Society Sindhuli,"Kamalamai 45900, Nepal",27.2034171,85.9123662,unknown,unknown,https://maps.google.com/?cid=6075245528468003587,Nepal,Central Development Region,Janakpur
14,ChIJzyb8WpQZ6zkR_dISDaQ-a9s,International Committee of the Red Cross (ICRC),"मिनभवन मार्ग, Kathmandu 44600, Nepal",27.686093,85.3376749,+977 1-4107285,http://www.icrc.org,https://maps.google.com/?cid=15810799791129154301,Nepal,Central Development Region,Bagmati
15,ChIJy-bW5iPv6zkR8U9uPcEYaz8,"Red Cross Society ,Ramechhap","Manthali 45400, Nepal",27.3813005,86.0584057,unknown,unknown,https://maps.google.com/?cid=4569773465135894513,Nepal,Central Development Region,Janakpur
17,ChIJ85crnTEP6zkRnhGRkUJn2Gk,"Nepal Red Cross, Janagal sub chapter.","Ugratara Janagal 45210, Nepal",27.6326241,85.514217,unknown,unknown,https://maps.google.com/?cid=7626959504559640990,Nepal,Central Development Region,Bagmati
18,ChIJ2bCmoaQa6zkRbXMX9WgcDxo,Nepal Red Cross Society Bhaktapur District Chapter,"Bhaktapur 44800, Nepal",27.6724022,85.4223007,+977 1-6611661,http://www.nrcs.org/,https://maps.google.com/?cid=1877750806750917485,Nepal,Central Development Region,Bagmati
15,ChIJkR9bAaqH5TkRIotJ-LyY3rE,"Nepal Red Cross Society, Hasandaha (नेपाल रेडक्रस सोसाइटी हसन्दह)","Hasandaha 56600, Nepal",26.5799691,87.57419139999999,unknown,unknown,https://maps.google.com/?cid=12816849526929853218,Nepal,unknown,unknown
19,ChIJS2D1v12B5TkRo6Dg4HuIgZA,Red Cross Society Sijuwa Office,"Sijuwa 56600, Nepal",26.4718987,87.6124665,unknown,unknown,https://maps.google.com/?cid=10412753879092469923,Nepal,Eastern Development Region,Koshi
2,ChIJWTyDjniu5TkRXBWyen3l4JM,"Nepal Red Cross Society, Jhapa District Chapter, Bhadrapur","Hospital Rd, Bhadrapur 57200, Nepal",26.5567315,88.0889713,+977 23-520102,http://www.nrcs.org/,https://maps.google.com/?cid=10655769045450757468,Nepal,Eastern Development Region,Mechi
7,ChIJEX30SbJt7zkRAGRDzYnFKGo,Khanar Red Cross,"Koshi Rajmarg, Itahari, Nepal",26.6250755,87.2739764,+977 25-583203,unknown,https://maps.google.com/?cid=7649581162733724672,Nepal,Eastern Development Region,Koshi
8,ChIJj65PZ3FB7zkRTswGmci9k9I,Red Cross Building,"Bijayapur Sadak, Dharan 56700, Nepal",26.8253479,87.28704909999999,+977 25-520258,http://www.nrcs.org/,https://maps.google.com/?cid=15173680238799801422,Nepal,Eastern Development Region,Koshi
9,ChIJGYx9ONyR5TkRI_nKj4Cg6jU,Nepal Red Cross Society,"E - W Hwy, Damak 57217, Nepal",26.6565897,87.70368839999999,+977 23-582101,unknown,https://maps.google.com/?cid=3885094102589176099,Nepal,Eastern Development Region,Mechi
