,place_id,place_name,place_address,place_lat,place_long,phone_number,website,url,country,adm_lvl_1,adm_lvl_2
12,ChIJWbb7xa5B7zkRYJwepOeXStA,"Nepal Red Cross BLOOD BANK, BPKIHS","Dharan 56700, Nepal",26.8110264,87.2683891,+977 25-525555,unknown,https://maps.google.com/?cid=15008975729312308320,Nepal,Eastern Development Region,Koshi
15,ChIJ6QLZZlW65TkR21Iavdw-TlU,Nepal Red Cross Society Blood Service- Birtamod,"Devi Panchakanya, Birtamode, 57204, Nepal",26.6414023,87.9740685,+977 23-541883,http://www.nrcs.org/,https://maps.google.com/?cid=6146919659193651931,Nepal,पूर्वाञ्चल विकास क्षेत्र,मेची
16,ChIJZ_6nXZCN5TkRjbUp_DezGOs,Nepal Red Cross Society,"Damak 57200, Nepal",26.7174675,87.6856935,unknown,unknown,https://maps.google.com/?cid=16940487051389285773,Nepal,Eastern Development Region,Mechi
15,ChIJb9pnjHiu5TkRMXJ1o76D5H0,Nepal Red Cross Society,"Hospital Rd, Bhadrapur 57200, Nepal",26.5566964,88.0891232,unknown,unknown,https://maps.google.com/?cid=9071520404240429617,Nepal,Eastern Development Region,Mechi
19,ChIJh14-MRFUkzkROXw0h_35lcg,Nepal Red Cross Society Blood Bank,"Birgunj 44300, Nepal",27.0034691,84.8707275,+977 51-522504,http://www.nrcs.org/,https://maps.google.com/?cid=14453733446405880889,Nepal,Central Development Region,Narayani
1,ChIJV82msEBUkzkRcrwU6ag84tg,Nepal Red Cross Society,"Birgunj 44300, Nepal",27.015248,84.8785552,unknown,unknown,https://maps.google.com/?cid=15628120353091665010,Nepal,Central Development Region,Narayani
12,ChIJnTmbkBWrlDkRTznBX2lV4zk,"Nepal RedCross Society , BiruwaGuthi Branch","Birwaguthi 44300, Nepal",27.1486711,84.9184508,unknown,unknown,https://maps.google.com/?cid=4171271590941636943,Nepal,Central Development Region,Narayani
15,ChIJ_____4_LlDkRFbU1EzVqk1A,Red Cross Building,"Sarikhet Palase 44100, Nepal",27.5380303,84.88805930000001,unknown,unknown,https://maps.google.com/?cid=5806101120798799125,Nepal,Central Development Region,Narayani
14,ChIJ64M7IoCV7DkRopDXrxlheGM,Annex Information Technology,"Gaur-8 Rautahat Nepal Near Red Cross Society, Gaur 44500, Nepal",26.7669256,85.2754041,+977 55-521399,http://aitgaur.webs.com/,https://maps.google.com/?cid=7167585569912361122,Nepal,Central Development Region,Narayani
7,ChIJZ8hNfntD7DkRHw5LteZds2A,Nepal Red Cross Society,"Jaleshwor 45700, Nepal",26.6467011,85.7998002,unknown,unknown,https://maps.google.com/?cid=6968016293937745439,Nepal,Central Development Region,Janakpur
8,ChIJw_YzSvZh6zkRPhuVnhfp7Cw,Nepal Redcross Society,"Chandranigahapur-Gaur Road, Chandrapur 44515, Nepal",27.1124268,85.353545,unknown,unknown,https://maps.google.com/?cid=3237218519826635582,Nepal,Central Development Region,Narayani
8,ChIJQaTnyfJD7DkRnDejUTHxpcY,Laxmi bank near Redcross Jaleshwar,"Mahottari 45700, Nepal",26.6517925,85.8285392,unknown,unknown,https://maps.google.com/?cid=14314112184792332188,Nepal,Central Development Region,Janakpur
14,ChIJP2Vqw3wX7DkRnRUEe9xt8_k,Nepal Red Cross Society And Eye Hospital Sabaila,"Unnamed Road, Sabaila 45600, Nepal",26.8007539,86.09046479999999,unknown,unknown,https://maps.google.com/?cid=18010860128508843421,Nepal,मध्यमाञ्चल,जनकपुर
17,ChIJr3AAR4hz7DkRxz2uNe3ah9o,"Nepal Redcross Society, Lalgadh (नेपाल रेडक्रस सोसाइटी, लालगढ)","Mithila, Nepal",26.9768072,85.9238305,unknown,unknown,https://maps.google.com/?cid=15746795334466944455,Nepal,unknown,unknown
19,ChIJBT5fAGHolDkRmqzd7RaC5MQ,"Nepal Redcross, Khairahani Branch","E - W Hwy, Khairahani 44204, Nepal",27.6108621,84.5668893,unknown,http://redcross.org/,https://maps.google.com/?cid=14187607761115524250,Nepal,Central Development Region,Narayani
9,ChIJ4-440tYf7DkRD1BxDDUq104,REDCROSS SOCIETY,"Mirchaiya 56500, Nepal",26.82378,86.249076,unknown,unknown,https://maps.google.com/?cid=5681055862281555983,Nepal,Eastern Development Region,Sagarmatha
6,ChIJlVJUlDks6TkRvXFQfUPA9SY,"Nepal Red Cross Society, Khotang","Diktel 56200, Nepal",27.2121747,86.79332389999999,unknown,unknown,https://maps.google.com/?cid=2807361338833138109,Nepal,Eastern Development Region,Sagarmatha
9,ChIJ0wYJoxkS7zkRuzgLnN9E3lE,"Redcross, Inaruwa","Inaruwa 56710, Nepal",26.5991771,87.1502478,unknown,unknown,https://maps.google.com/?cid=5899228289088305339,Nepal,Eastern Development Region,Koshi
16,ChIJL45dMdyR5TkRTHPXdBKvagw,Damak Redcross,"Damak-Dhukurpani Route, Damak 57217, Nepal",26.6571038,87.7033309,+977 23-562437,unknown,https://maps.google.com/?cid=894719969791013708,Nepal,पूर्वाञ्चल विकास क्षेत्र,मेची
0,ChIJK1M8MWxs7zkRL35rmsTOiog,ram lal golchha eye hospital (CEC),"redcross, Itahari 56705, Nepal",26.6613116,87.2776189,+977 21-523706,unknown,https://maps.google.com/?cid=9838903679743917615,Nepal,पूर्वाञ्चल विकास क्षेत्र,कोशी
8,ChIJF2gh0h235TkRvouqDMKtvMA,Redcross Budhabare,"Budhabare 57200, Nepal",26.7192449,88.04882339999999,unknown,unknown,https://maps.google.com/?cid=13888166399851531198,Nepal,Eastern Development Region,Mechi
13,ChIJAT9jJZzH6DkRJbhhKOZ9gnE,Nepal Redcross Society Sankhuwasabha,"Khandbari 56900, Nepal",27.3771539,87.2075897,unknown,unknown,https://maps.google.com/?cid=8179238300731684901,Nepal,Eastern Development Region,Koshi
14,ChIJt_bldYbD5TkRzkFWMwM1Zcg,Ilam Redcross,"Ilam 57300, Nepal",26.913044,87.9286319,unknown,unknown,https://maps.google.com/?cid=14440006068095828430,Nepal,Eastern Development Region,Mechi
