country,southernmost,nothernmost,westernmost,easternmost
 United Kingdom,49,60,13,72
 Chile,-56,-17,-109,-66
 Argentina,-55,-21,-73,-53
 Australia,-55,-9,72,167
 Falkland Islands,-52,-51,0,0
 New Zealand,-52,-29,165,178
 France,22,51,-5,55
 South Africa,-46,-22,16,38
 Uruguay,-35,-30,-58,-53
 Brazil,-33,5,-73,-28
 Lesotho,-30,-28,27,29
 Namibia,-28,-16,11,25
 Paraguay,-27,-19,-62,-54
 Eswatini (Swaziland),-27,-25,30,32
 Botswana,-26,-17,20,29
 Mozambique,-26,-10,30,40
 Madagascar,-25,-11,43,50
 Bolivia,-22,-9,-69,-57
 Zimbabwe,-22,-15,25,33
 Tonga,-22,-15,-175,-173
 Fiji,-21,-12,176,176
 Mauritius,-20,-10,56,63
 Vanuatu,-20,-13,166,170
 Peru,-18,0,-81,-68
 Zambia,-18,-8,22,32
 Angola,-18,-4,11,24
 Malawi,-17,-9,32,35
 United States,25,71,-124,-64
 Samoa,-14,-13,-172,-171
 Democratic Republic of the Congo,-13,5,12,31
 Comoros,-12,-11,43,44
 Solomon Islands,-11,-5,155,170
 Papua New Guinea,-11,0,140,159
 Tanzania,-11,0,29,40
 Kiribati,-11,3,169,-150
 Indonesia,-11,6,94,141
 Tuvalu,-10,-5,176,179
 Seychelles,-10,-3,46,56
 East Timor,-9,0,0,127
 Tokelau,-9,0,0,0
 British Indian Ocean Territory,-7,0,0,0
 Republic of the Congo,-5,3,11,18
 Ecuador,-5,1,-92,-75
 Kenya,-4,5,35,41
 Burundi,-4,-2,28,30
 Colombia,-4,15,-81,-67
 Gabon,-3,2,8,14
 Rwanda,-2,-1,28,30
 Somalia,-1,11,41,51
 Uganda,-1,4,29,35
 Equatorial Guinea,-1,3,5,11
 Maldives,0,7,72,73
 Nauru,0,0,166,166
 São Tomé and Príncipe,0,0,6,7
 Venezuela,0,15,-73,-59
 Malaysia,0,7,99,119
 Federated States of Micronesia,1,10,0,163
 Singapore,1,1,103,104
 Guyana,1,8,-61,-56
 Cameroon,1,13,8,16
 Suriname,1,6,-58,-54
 French Guiana,2,0,0,0
 Central African Republic,2,11,14,27
 Palau,2,8,131,134
 Ethiopia,3,14,33,48
 South Sudan,3,12,23,35
 China,3,53,73,134
 Brunei,4,5,114,115
 Nigeria,4,13,2,13
 Liberia,4,8,-11,-7
 Côte d'Ivoire,4,0,-8,-2
 Marshall Islands,4,14,160,172
 Philippines,4,21,114,126
 Ghana,4,11,-3,1
 Costa Rica,5,11,-87,-82
 Thailand,5,20,97,105
 Sri Lanka,5,9,79,81
 Togo,6,11,0,1
 Benin,6,12,0,3
 India,6,35,68,97
 Sierra Leone,6,9,-13,-10
 Panama,7,9,-83,-77
 Guinea,7,12,-15,-7
 Chad,7,23,13,24
 Vietnam,7,23,102,109
 Sudan,8,22,21,38
 Burkina Faso,9,15,-5,0
 Myanmar,9,28,92,101
 Cambodia,9,14,102,107
 Trinidad and Tobago,10,11,-61,-60
 Mali,10,25,-12,4
 Nicaragua,10,15,-87,-82
 Guinea-Bissau,10,12,-16,-13
 Djibouti,10,12,41,43
 Niger,11,23,0,16
 Netherlands,11,53,-70,7
 Grenada,11,12,-61,-61
 Yemen,12,18,41,54
 Senegal,12,16,-17,-11
 Eritrea,12,18,36,43
 Saint Vincent and the Grenadines,12,13,-61,-61
 Honduras,12,17,-88,-83
 Gambia,13,0,-16,-13
 Barbados,13,13,-59,-59
 El Salvador,13,14,-90,-87
 Saint Lucia,13,14,-61,-60
 Guatemala,13,17,-92,-88
 Laos,13,22,100,106
 Mexico,14,32,-118,-86
 Mauritania,14,27,-17,-4
 Cape Verde,14,17,-25,-22
 Dominica,15,15,-61,-61
 Belize,15,18,-89,-87
 Saudi Arabia,16,32,34,55
 Oman,16,26,52,59
 Montserrat,16,0,0,0
 Antigua and Barbuda,16,17,-61,-61
 Saint Kitts and Nevis,17,17,-62,-62
 Dominican Republic,17,19,-72,-68
 Jamaica,17,18,-78,-76
 Haiti,18,20,-74,-71
 Algeria,18,37,-8,12
 Libya,19,33,9,25
