country,southernmost,nothernmost,westernmost,easternmost
 Cuba,19,23,-84,-74
 Japan,20,45,122,153
 Bangladesh,20,26,88,92
Western Sahara,20,27,0,0
 Bahamas,20,27,-79,-72
 Egypt,21,31,24,35
 United Arab Emirates,22,26,51,56
 Pakistan,23,37,61,77
 Qatar,24,26,50,51
 Iran,25,39,44,63
 Bahrain,25,26,50,50
   Nepal,26,30,80,88
 Bhutan,26,28,88,92
 Spain,27,43,-18,4
 Morocco*,27,35,-13,-1
 Kuwait,28,30,46,48
 Iraq,29,37,38,48
 Jordan,29,33,34,39
 Afghanistan,29,38,60,75
 Israel,29,33,34,35
 Portugal,30,42,-9,-6
 Tunisia,30,37,7,11
 Syria,32,37,35,42
 Lebanon,33,34,35,36
 South Korea,33,38,124,131
 Cyprus,34,35,32,34
 Greece,34,41,19,29
 Turkmenistan,35,42,52,66
 Italy,35,47,6,18
 Malta,35,36,14,14
 Turkey,35,42,25,44
 Tajikistan,36,41,67,75
 Uzbekistan,37,45,56,73
 North Korea,37,43,124,130
 Azerbaijan,38,41,44,50
 Armenia,38,41,43,46
 Kyrgyzstan,39,43,69,80
 Albania,39,42,19,21
 Kazakhstan,40,55,50,87
 North Macedonia,40,42,20,23
 Georgia,41,43,41,46
 Russia,41,81,19,-169
 Bulgaria,41,44,22,28
 Mongolia,41,52,88,119
 Canada,41,83,-141,-52
 Serbia,41,46,18,23
 Montenegro,41,43,18,20
 Croatia,42,46,13,19
 Andorra,42,42,1,1
 Bosnia and Herzegovina,42,45,15,19
 Romania,43,48,20,29
 Monaco,43,43,7,7
 San Marino,43,43,12,12
 Ukraine,44,52,22,40
 Slovenia,45,46,13,16
 Moldova,45,48,26,30
 Hungary,45,48,16,22
  Switzerland,45,47,5,10
 Austria,46,49,9,17
 Saint Pierre and Miquelon,46,0,0,0
 Liechtenstein,47,47,9,9
 Germany,47,55,5,15
 Slovakia,47,49,16,22
 Czech Republic,48,51,12,18
 Poland,49,54,14,24
 Luxembourg,49,50,5,6
 Belgium,49,51,2,6
 England,49,0,0,0
 Belarus,51,56,23,32
 Ireland,51,55,-10,-5
 Lithuania,53,56,20,26
 Denmark,54,57,-73,15
 Sweden,55,69,10,24
 Latvia,55,58,21,28
 Estonia,57,59,21,28
 Norway,57,80,-9,33
 Greenland,59,83,-73,-12
 Finland,59,70,19,31
 Faroe Islands,61,62,-7,-6
 Iceland,63,67,-24,-13
