RC	UFI	UNI	LAT	LONG	DMS_LAT	DMS_LONG	MGRS	JOG	FC	DSG	PC	CC1	ADM1	POP	ELEV	CC2	NT	LC	SHORT_FORM	GENERIC	SORT_NAME_RO	FULL_NAME_RO	FULL_NAME_ND_RO	SORT_NAME_RG	FULL_NAME_RG	FULL_NAME_ND_RG	NOTE	MODIFY_DATE	DISPLAY	NAME_RANK	NAME_LINK	TRANSL_CD	NM_MODIFY_DATE	F_EFCTV_DT	F_TERM_DT
3	-1177147	-1736568	12.216667	-10.333333	12:13:00N	10:20:00W	29PLP5496050870	ND29-14	H	STM		GV,ML				GV,ML	N				BALE	Balé	Bale	BALE	Balé	Bale		2013-03-13	1,2,3,4,5,6,7	1			2013-03-13		
3	-2020889	-2809834	5.301564	6.416801	5:18:06N	6:25:00E	32NKL1368086596	NB32-09	H	STM		NI	00			ML	N				NIGER	Niger	Niger	NIGER	Niger	Niger		2009-09-29	1,2,3,4,5,6,7,8,9				1993-09-01		
3	-1067311	-1584284	22.6	-1.066667	22:36:00N	1:04:00W	30QXL9873700530	NF30-08	H	WAD		ML	00			ML	N				ELDJOUF	El Djouf	El Djouf	ELDJOUF	El Djouf	El Djouf		1994-03-29	1,2,3,4,5	1			1993-09-01		
3	-1077602	-1598927	15.966667	3.983333	15:58:00N	3:59:00E	31PFT0523065497	ND31-03	H	WAD		NG	00			ML	N				AMACHKALO	Amachkalo	Amachkalo	AMACHKALO	Amachkalo	Amachkalo		1994-03-29	1,2,3,4,5				1993-09-01		
3	-1070011	-1588329	15.74645	-8.38869	15:44:47N	8:23:19W	29PNT6548840984	ND29-03	H	STMI		ML	00			ML	N			Oued	OUEDELKHOUF	Oued el Khouf	Oued el Khouf	KHOUF OUEDEL	Khouf, Oued el	Khouf, Oued el		2007-12-17	1,2,3,4,5	1			2007-11-28		
3	-1070011	-1586227	15.74645	-8.38869	15:44:47N	8:23:19W	29PNT6548840984	ND29-03	H	STMI		ML	00			ML	V				OUEDELHROUF	Oued el Hrouf	Oued el Hrouf	HROUF OUEDEL	Hrouf, Oued el	Hrouf, Oued el		2007-12-17	1,2,3,4,5				2007-11-28		
1	-1073660	-1593391	12.016667	-8.316667	12:01:00N	8:19:00W	29PNP7438428489	ND29-15	H	STM		ML	00			ML	N				SANKARANI	Sankarani	Sankarani	SANKARANI	Sankarani	Sankarani		1997-03-05	1,2,3,4,5,6,7,8,9	1			1997-03-04		
3	-1064364	9349852	19.559444	2.068611	19:33:34N	2:04:07E	31QDB0230062996	NE31-02	H	WAD		ML	00			ML	N				AGHARGHAR	Agharghar	Agharghar	AGHARGHAR	Agharghar	Agharghar		2007-04-04	1,2,3,4,5	1			2007-04-04		
1	-1073427	-1593082	12.225192	-8.991474	12:13:31N	8:59:29W	29PNP0092751455	ND29-15	H	STMI		ML	00			ML	N				SALAKO	Salako	Salako	SALAKO	Salako	Salako		2008-11-13	1,2,3,4,5				2008-11-13		
1	-1064467	10251446	15.4567	3.3585	15:27:24N	3:21:31E	31PET3845908872	ND31-03	H	WAD		ML	00			ML	N				AZAWAK	Azawak	Azawak	AZAWAK	Azawak	Azawak		2007-11-28	1,2,3,4,5				2007-11-28		
1	-1067429	10251441	15.9029	3.9513	15:54:10N	3:57:05E	31PFT0183458426	ND31-03	H	MRSH		ML	00			ML	N				ETANBO	Etanbo	Etanbo	ETANBO	Etanbo	Etanbo		2007-11-28	1,2,3,4,5				2007-11-28		
1	-1067429	10251934	15.9029	3.9513	15:54:10N	3:57:05E	31PFT0183458426	ND31-03	H	MRSH		ML	00			ML	N				ETANBO	Etanbo	Etanbo	ETANBO	Etanbo	Etanbo		2007-11-28	1,2,3,4,5	1			2007-11-28		
1	10066771	10251494	15.3576	3.4947	15:21:27N	3:29:41E	31PES5309597939	ND31-03	H	WLL		NG	00			ML	N				TINGAR	Ti-n-Gar	Ti-n-Gar	TINGAR	Ti-n-Gar	Ti-n-Gar		2007-11-28	1,2,3,4				2007-11-28		
1	-1075191	10299871	24.6803	-4.338	24:40:49N	4:20:17W	30RUN6462730209	NG30-14	H	WLL		ML	00			ML	N				TAGHMANANT	Taghmanant	Taghmanant	TAGHMANANT	Taghmanant	Taghmanant		2008-01-30	1,2,3,4,5,6,7				2008-01-30		
1	10005429	10069150	15.021885	-8.03186	15:01:19N	8:01:55W	29PPS0407660974	ND29-03	H	STMI		ML	07			ML	N				BAMANAKOUNDA	Bamanakounda	Bamanakounda	BAMANAKOUNDA	Bamanakounda	Bamanakounda		2008-01-08	1,2,3,4	1			2008-01-08		
1	10077056	10275007	24.0711	-6.4183	24:04:16N	6:25:06W	29RQG6250364512	NG29-16	H	WTLD		ML	00			ML	N				TAMSAGOUT	Tamsagout	Tamsagout	TAMSAGOUT	Tamsagout	Tamsagout		2007-12-13	1,2,3,4				2007-12-13		
1	-2274195	337266	15.7881	-16.5288	15:47:17N	16:31:44W	28PCC3624346091	ND28-01	H	STM		SG	00			ML	N			Fleuve	SENEGALFLEUVE	Sénégal Fleuve	Senegal Fleuve	SENEGALFLEUVE	Sénégal Fleuve	Senegal Fleuve		2008-12-03	1,2,3,4,5,6,7,8,9	1			2008-12-03		
1	-2266821	10126200	14.0579	-12.341429	14:03:28N	12:20:29W	28PGA8712155749	ND28-08	H	STMI		SG	05			ML	N				DEN	Den	Den	DEN	Den	Den		2007-09-18	1,2,3,4,5	1			2007-09-18		
1	-1183808	10202980	12.002061	-11.199799	12:00:07N	11:11:59W	29PKP6048027738	ND29-13	H	STM		GV	00			ML	N				NINGUIGUIN	Ninguiguin	Ninguiguin	NINGUIGUIN	Ninguiguin	Ninguiguin		2007-10-12	1,2,3,4,5				2007-10-12		
1	-1076214	10202898	12.162433	-11.477725	12:09:45N	11:28:40W	29PKP3036345744	ND29-13	H	STMI		GV	00			ML	N				TOGNEA	Tognéa	Tognea	TOGNEA	Tognéa	Tognea		2007-10-11	1,2,3,4,5				2007-10-11		
1	-1074194	10202920	12.115637	-11.400926	12:06:56N	11:24:03W	29PKP3867940490	ND29-13	H	STMI		GV	00			ML	N				SIMBAKOURE	Simbakouré	Simbakoure	SIMBAKOURE	Simbakouré	Simbakoure		2007-10-12	1,2,3,4,5	1			2007-10-12		
1	-2265487	10202746	12.490758	-11.356509	12:29:27N	11:21:23W	29PKP4388081961	ND29-13	H	STM		SG	00			ML	N			Ko	BALINKO	Balin-Ko	Balin-Ko	BALINKO	Balin-Ko	Balin-Ko		2007-10-10	1,2,3,4,5	1			2007-10-18		
1	-1069440	-1587546	15.1897	-10.873075	15:11:23N	10:52:23W	29PKS9877880170	ND29-01	H	LK		ML	00			ML	N			Mare	MAREDEKALEOUROU	Mare de Kaléourou	Mare de Kaleourou	KALEOUROU MAREDE	Kaléourou, Mare de	Kaleourou, Mare de		2007-10-02	1,2,3,4,5				2007-10-02		
1	-1071184	-1589869	15.129388	-10.882458	15:07:46N	10:52:57W	29PKS9771273505	ND29-01	H	LK		ML	00			ML	N			Mare	MAREDELEHE	Mare de Léhé	Mare de Lehe	LEHE MAREDE	Léhé, Mare de	Lehe, Mare de		2007-09-26	1,2,3,4,5				2007-09-26		
1	-2273623	10124816	14.405068	-12.200258	14:24:18N	12:12:01W	28PHA0191594362	ND28-08	H	STM		SG	00			ML	N			Kolé	SANONKOLE	Sanon Kolé	Sanon Kole	SANONKOLE	Sanon Kolé	Sanon Kole		2007-09-18	1,2,3,4,5				2007-09-17		
1	-1064467	10251939	15.4567	3.3585	15:27:24N	3:21:31E	31PET3845908872	ND31-03	H	WAD		ML	00			ML	N				AZAWAK	Azawak	Azawak	AZAWAK	Azawak	Azawak		2007-11-28	1,2,3,4,5				2007-11-28		
1	-1070874	-1589460	12.223076	-11.039815	12:13:23N	11:02:23W	29PKP7808952058	ND29-13	H	STM		ML	00			ML	N			Ko	KOUNDAKO	Kounda Ko	Kounda Ko	KOUNDAKO	Kounda Ko	Kounda Ko		2007-10-12	1,2,3,4,5				2007-10-12		
1	-1069656	-1587839	14.719543	-12.053016	14:43:10N	12:03:11W	28PHB1735529382	ND28-08	H	STM		ML	00			ML	N				KARAKORO	Karakoro	Karakoro	KARAKORO	Karakoro	Karakoro		2007-09-13	1,2,3,4,5				2007-09-13		
1	-1067518	10123919	14.760056	-12.238696	14:45:36N	12:14:19W	28PGB9729033614	ND28-08	H	STM		ML	00			ML	N			Rivière	FALEMERIVIERE	Falémé Rivière	Faleme Riviere	FALEMERIVIERE	Falémé Rivière	Faleme Riviere		2007-09-13	1,2,3,4,5,6,7,8,9	1			2007-09-13		
1	-1065457	-1581825	13.3357	-3.4356	13:20:09N	3:26:08W	30PVV5282774301	ND30-10	H	STMI		ML	04			ML	N				BOUBA	Bouba	Bouba	BOUBA	Bouba	Bouba		2008-10-31	1,2,3,4,5,6,7	1			2008-10-31		
1	-1068173	-1585463	15.16003	-10.878985	15:09:36N	10:52:44W	29PKS9811576892	ND29-01	H	LK		ML	00			ML	N			Mare	MAREDEGARE	Mare de Garé	Mare de Gare	GARE MAREDE	Garé, Mare de	Gare, Mare de		2007-09-26	1,2,3,4,5	1			2007-09-26		
3	-1064964	-1581156	12.606	-6.5612	12:36:22N	6:33:40W	29PQP6495194797	ND29-16	H	STM		ML	07			ML	N	fra			BAOULE	Baoulé	Baoule	BAOULE	Baoulé	Baoule		2008-11-12	1,2,3,4,5,6,7,8,9	1			1996-12-17		
3	-1064545	-1580597	13.8106	-10.8264	13:48:38N	10:49:35W	29PLR0257527531	ND29-09	H	STM		ML	00			ML	N				BAFING	Bafing	Bafing	BAFING	Bafing	Bafing		2008-11-19	1,2,3,4,5,6,7,8,9				1997-03-04		
3	-1064622	-1580706	13.8123	-10.8245	13:48:44N	10:49:28W	29PLR0278227718	ND29-09	H	STM		ML	00			ML	N				BAKOYE	Bakoye	Bakoye	BAKOYE	Bakoye	Bakoye		2008-11-19	1,2,3,4,5,6,7,8,9				1997-03-04		
3	-472480	6722144	19.079167	3.850176	19:04:45N	3:51:01E	31QEB8944109804	NE31-03	H	WAD		AG	53			ML	N			Oued	OUEDIMECHECHERHENE	Oued Imechecherhene	Oued Imechecherhene	IMECHECHERHENE OUED	Imechecherhene, Oued	Imechecherhene, Oued		2011-02-14	1,2,3,4	1			2007-04-10		
3	-472557	-677090	18.888406	3.541481	18:53:18N	3:32:29E	31QEA5702988567	NE31-07	H	WAD		AG,ML				ML	N				INAKANTARER	I-n-Akantarer	I-n-Akantarer	INAKANTARER	I-n-Akantarer	I-n-Akantarer		2012-10-02	1,2,3,4,5,6,7,8,9				2007-04-10		
3	-1403201	10168517	15.334586	-10.759519	15:20:05N	10:45:34W	29PLS1111096100	ND29-01	H	STMI		MR	00			ML	N				OUMOULBOHORO	Oumoulbohoro	Oumoulbohoro	OUMOULBOHORO	Oumoulbohoro	Oumoulbohoro		2007-10-02	1,2,3,4,5				2007-10-02		
3	-2124123	-2946685	11.110492	-6.442445	11:06:38N	6:26:33W	29PQN7937929399	NC29-04	H	STM		IV,ML				ML	N	fra			KANKELABA	Kankélaba	Kankelaba	KANKELABA	Kankélaba	Kankelaba		2012-10-18	1,2,3,4,5,6,7,8,9				1993-09-01		
3	10206078	10516061	15.767405	-6.52297	15:46:03N	6:31:23W	29PQT6539744767	ND29-04	H	STMI		MR	01			ML	N				CHEGTLOUFKARI	Chégtloufkari	Chegtloufkari	CHEGTLOUFKARI	Chégtloufkari	Chegtloufkari		2008-06-12	1,2,3,4	1			2008-06-12		
3	-1069130	6406985	16.797119	2.022735	16:47:50N	2:01:22E	31QCU9586157368	NE31-14	H	WAD		ML	09			ML	N				INTARLENE	I-n-Tarlene	I-n-Tarlene	INTARLENE	I-n-Tarlene	I-n-Tarlene		2012-10-26	1,2,3,4,5	1			2006-09-14		
3	-1076989	-1598209	19.840556	3.247778	19:50:26N	3:14:52E	31QEB2594593856	NE31-03	H	WAD		ML	00			ML	N			Oued	OUEDTINZAOUATENE	Oued Ti-n-Zaouatene	Oued Ti-n-Zaouatene	TINZAOUATENE OUED	Ti-n-Zaouatene, Oued	Ti-n-Zaouatene, Oued		2007-04-10	1,2,3,4,5,6,7	1			2013-03-06		
3	-1179060	14190407	12.25	-9.35	12:15:00N	9:21:00W	29PMP6193554223	ND29-14	H	STM		GV,ML				ML	N				DJINKO	Djinko	Djinko	DJINKO	Djinko	Djinko		2013-04-04	1,2,3,4,5,6,7	1			2013-04-04		
