RC	UFI	UNI	LAT	LONG	DMS_LAT	DMS_LONG	MGRS	JOG	FC	DSG	PC	CC1	ADM1	POP	ELEV	CC2	NT	LC	SHORT_FORM	GENERIC	SORT_NAME_RO	FULL_NAME_RO	FULL_NAME_ND_RO	SORT_NAME_RG	FULL_NAME_RG	FULL_NAME_ND_RG	NOTE	MODIFY_DATE	DISPLAY	NAME_RANK	NAME_LINK	TRANSL_CD	NM_MODIFY_DATE	F_EFCTV_DT	F_TERM_DT
3	-3174528	-4483463	26	13	26:00:00N	13:00:00E	33RTJ9981977216	NG33-05	T	DSRT		AG,CD,EG,LY,ML,MR,WI				AG,CD,EG,LY,ML,MR,NG,WI	N				SAHARA	Sahara	Sahara	SAHARA	Sahara	Sahara		2011-04-07	1,2,3,4,5	1			2019-06-05		
3	-473079	-677838	23.622	-3.3938	23:37:19N	3:23:38W	30QVM5983012433	NF30-02	T	TRGD		ML	00			AG,ML	N			Tayert	TAYERTELKAHLA	Tayert el Kahla	Tayert el Kahla	KAHLA TAYERTEL	Kahla, Tayert el	Kahla, Tayert el		2008-01-15	1,2,3,4,5,6,7,8,9	1			2013-02-19		
3	-1064447	9351260	20.266667	2.183333	20:16:00N	2:11:00E	31QDC1471541202	NF31-14	T	HLLS		ML	00			ML	N			Adrar	ADRARAHTES	Adrar Ahtes	Adrar Ahtes	AHTES ADRAR	Ahtes, Adrar	Ahtes, Adrar		2007-04-04	1,2,3,4,5	1			2007-04-04		
3	-1064086	-1579859	21.466667	.5	21:28:00N	0:30:00E	31QBD4093475866	NF31-09	T	ERG		ML	00			ML	N				ERGAITELKHAOUA	’Erg Aït el Khaoua	'Erg Ait el Khaoua	AITELKHAOUA ERG	Aït el Khaoua, ’Erg	Ait el Khaoua, 'Erg		1994-03-29	1,2,3,4,5	1			1993-09-01		
3	-1075940	6760350	16.414427	-5.473344	16:24:52N	5:28:24W	30QTD3585616390	NE30-13	T	DPR		ML	00			ML	N			Chegguet	CHEGGUETTINKERKAZ	Chegguet Ti-n-Kerkâz	Chegguet Ti-n-Kerkaz	TINKERKAZ CHEGGUET	Ti-n-Kerkâz, Chegguet	Ti-n-Kerkaz, Chegguet		2007-09-28	1,2,3,4,5	1			2007-09-28		
3	-1075652	-1596274	16.099932	-5.382712	16:06:00N	5:22:58W	30QTC4513481460	NE30-13	T	DUNE		ML	00			ML	N				TILEMSI	Tîlemsi	Tilemsi	TILEMSI	Tîlemsi	Tilemsi		2007-10-04	1,2,3,4,5	1			2007-10-04		
1	-1068022	10836148	12.305762	-8.948621	12:18:21N	8:56:55W	29PNP0558760365	ND29-15	T	MTS		ML	00			ML	N			Kourou	TYENKOUROU	Tyen Kourou	Tyen Kourou	TYENKOUROU	Tyen Kourou	Tyen Kourou		2008-11-13	1,2,3,4,5				2008-11-13		
3	-488587	6719631	20.065833	2.668889	20:03:57N	2:40:08E	31QDC6537818801	NF31-14	T	HLL		ML	00			ML	N			Adrar	ADRARTEFEDJIT	Adrar Tefedjit	Adrar Tefedjit	TEFEDJIT ADRAR	Tefedjit, Adrar	Tefedjit, Adrar		2007-04-04	1,2,3,4				2007-04-04		
1	10081756	10290470	24.1269	-3.7908	24:07:37N	3:47:27W	30RVM1964468503	NG30-14	T	ERG		ML	00			ML	N			’Erg	ERGTESBEHA	’Erg Tesbeha	'Erg Tesbeha	TESBEHA ERG	Tesbeha, ’Erg	Tesbeha, 'Erg		2008-01-16	1,2,3,4				2008-01-16		
1	10081757	10290471	24.0994	-3.5206	24:05:58N	3:31:14W	30RVM4708965330	NG30-14	T	TRGD		ML	00			ML	N			Tâyert	TAYERTELDJERAF	Tâyert el Djerâf	Tayert el Djeraf	DJERAF TAYERTEL	Djerâf, Tâyert el	Djeraf, Tayert el		2008-01-16	1,2,3,4				2008-01-16		
1	-1064332	-1580240	24.9357	-5.0234	24:56:09N	5:01:24W	30RTN9568659349	NG30-13	T	DUNE		ML	00			ML	N			’Erîgât	ERIGATAOUSSASSIL	’Erîgât Aoussassil	'Erigat Aoussassil	AOUSSASSIL ERIGAT	Aoussassil, ’Erîgât	Aoussassil, 'Erigat		2007-12-12	1,2,3,4,5				2007-12-12		
1	6334656	6546800	23.0851	-2.0126	23:05:06N	2:00:45W	30QXL0113053282	NF30-03	T	ERG		ML	00			ML	N				KHNACHICH	Khnachich	Khnachich	KHNACHICH	Khnachich	Khnachich		2008-01-04	1,2,3,4,5,6,7,8,9				2008-01-04		
1	10085340	10299955	15.2921	1.5231	15:17:32N	1:31:23E	31PCS4142591173	ND31-02	T	HLLS		ML	00			ML	N				CHETOLAKA	Chétolaka	Chetolaka	CHETOLAKA	Chétolaka	Chetolaka		2008-01-30	1,2,3,4	1			2008-01-30		
