RC	UFI	UNI	LAT	LONG	DMS_LAT	DMS_LONG	MGRS	JOG	FC	DSG	PC	CC1	ADM1	POP	ELEV	CC2	NT	LC	SHORT_FORM	GENERIC	SORT_NAME_RO	FULL_NAME_RO	FULL_NAME_ND_RO	SORT_NAME_RG	FULL_NAME_RG	FULL_NAME_ND_RG	NOTE	MODIFY_DATE	DISPLAY	NAME_RANK	NAME_LINK	TRANSL_CD	NM_MODIFY_DATE	F_EFCTV_DT	F_TERM_DT
3	10341361	10753896	14.75729	-1.263981	14:45:26N	1:15:50W	30PXB8686932203	ND30-08	V	GRSLD		ML,UV				ML,UV	N				GUEDDEROU	Guéddérou	Guedderou	GUEDDEROU	Guéddérou	Guedderou		2012-11-13	1,2,3,4	1			2012-11-14		
3	10341317	10753852	14.609717	-1.525563	14:36:35N	1:31:32W	30PXB5881215675	ND30-07	V	SCRB		ML,UV				ML,UV	N				FOULSERE	Foulséré	Foulsere	FOULSERE	Foulséré	Foulsere		2012-11-13	1,2,3,4	1			2012-11-14		
3	6331376	6542975	16.733407	-2.333182	16:44:00N	2:19:59W	30QWD7107950183	NE30-15	V	SCRB		ML	08				N				TAZOUMBOSTTADOURA	Tazoumbost Tadoura	Tazoumbost Tadoura	TAZOUMBOSTTADOURA	Tazoumbost Tadoura	Tazoumbost Tadoura		2009-10-13	1,2,3,4	1			1993-09-01		
3	-1068806	-1586463	20.778611	.9225	20:46:43N	0:55:21E	31QBC8373599038	NF31-13	V	SCRB		ML	10				N				INADIEL	I-n-Adiel	I-n-Adiel	INADIEL	I-n-Adiel	I-n-Adiel		2007-02-01	1,2,3,4,5	1			2005-04-07		
3	-1069189	-1587129	16.525278	.22	16:31:31N	0:13:12E	31QBU0325529089	NE31-13	V	SCRB		ML	09				V				INTILIT	In Tilit	In Tilit	INTILIT	In Tilit	In Tilit		2006-06-08	1,2,3,4,5				1993-09-01		
3	-1069189	-1587128	16.525278	.22	16:31:31N	0:13:12E	31QBU0325529089	NE31-13	V	SCRB		ML	09				N				INTILILT	I-n-Tililt	I-n-Tililt	INTILILT	I-n-Tililt	I-n-Tililt		2006-06-08	1,2,3,4,5	1			1993-09-01		
3	-1068812	-1586473	18.214444	3.239722	18:12:52N	3:14:23E	31QEA2534713928	NE31-07	V	SCRB		ML	10				N				INAGGAR	I-n-Aggar	I-n-Aggar	INAGGAR	I-n-Aggar	I-n-Aggar		2006-06-27	1,2,3,4,5	1			1993-09-01		
3	6312572	6406244	16.154722	-.674722	16:09:17N	0:40:29W	30QYC4865187454	NE30-16	V	SCRB		ML	09				N				TINADIOROF	Ti-n-Adiorof	Ti-n-Adiorof	TINADIOROF	Ti-n-Adiorof	Ti-n-Adiorof		2006-05-24	1,2,3,4	1			1993-09-01		
3	6312574	6406246	16.0075	-.812222	16:00:27N	0:48:44W	30QYC3411470998	NE30-16	V	SCRB		ML	09				N				TINEFRAT	Ti-n-Efrat	Ti-n-Efrat	TINEFRAT	Ti-n-Efrat	Ti-n-Efrat		2006-05-24	1,2,3,4	1			1993-09-01		
3	6312575	6406247	16.011667	-.771111	16:00:42N	0:46:16W	30QYC3851071506	NE30-16	V	SCRB		ML	09				N				BEDECHEN	Bédéchèn	Bedechen	BEDECHEN	Bédéchèn	Bedechen		2006-05-24	1,2,3,4	1			1993-09-01		
3	6312576	6406248	16.115278	-.625	16:06:55N	0:37:30W	30QYC5402183149	NE30-16	V	SCRB		ML	09				N				TINALKARA	Ti-n-Alkara	Ti-n-Alkara	TINALKARA	Ti-n-Alkara	Ti-n-Alkara		2006-05-24	1,2,3,4	1			1993-09-01		
3	6312577	6406249	16.075556	-.641111	16:04:32N	0:38:28W	30QYC5234778732	NE30-16	V	SCRB		ML	09				N				KARAKOMAK	Karakomak	Karakomak	KARAKOMAK	Karakomak	Karakomak		2006-05-24	1,2,3,4	1			1993-09-01		
3	6312581	6406253	16.023333	-.463889	16:01:24N	0:27:50W	30QYC7138773175	NE30-16	V	SCRB		ML	09				N				TINLATIN	Ti-n-Latin	Ti-n-Latin	TINLATIN	Ti-n-Latin	Ti-n-Latin		2006-05-24	1,2,3,4	1			1993-09-01		
3	6312583	6406255	16.038333	-.32	16:02:18N	0:19:12W	30QYC8677275030	NE30-16	V	SCRB		ML	09				N				SANSANOGUI	Sansanogui	Sansanogui	SANSANOGUI	Sansanogui	Sansanogui		2006-05-24	1,2,3,4	1			1993-09-01		
3	6312485	6406157	16.468056	-.846944	16:28:05N	0:50:49W	30QYD2986121935	NE30-16	V	SCRB		ML	09				N				TINNELGON	Ti-n-Nèlgon	Ti-n-Nelgon	TINNELGON	Ti-n-Nèlgon	Ti-n-Nelgon		2006-05-24	1,2,3,4	1			1993-09-01		
3	6312486	6406158	16.440556	-.891944	16:26:26N	0:53:31W	30QYD2508618841	NE30-16	V	SCRB		ML	09				N				CHAKO	Chako	Chako	CHAKO	Chako	Chako		2006-05-24	1,2,3,4	1			1993-09-01		
