RC	UFI	UNI	LAT	LONG	DMS_LAT	DMS_LONG	MGRS	JOG	FC	DSG	PC	CC1	ADM1	POP	ELEV	CC2	NT	LC	SHORT_FORM	GENERIC	SORT_NAME_RO	FULL_NAME_RO	FULL_NAME_ND_RO	SORT_NAME_RG	FULL_NAME_RG	FULL_NAME_ND_RG	NOTE	MODIFY_DATE	DISPLAY	NAME_RANK	NAME_LINK	TRANSL_CD	NM_MODIFY_DATE	F_EFCTV_DT	F_TERM_DT
1	6331411	6543010	16.86949	-2.157205	16:52:10N	2:09:26W	30QWD8977465309	NE30-15	L	LCTY		ML	08				N				FAHITAOUEN	Fahitaouèn	Fahitaouen	FAHITAOUEN	Fahitaouèn	Fahitaouen		2009-10-14	1,2,3,4	1			1993-09-01		
1	6331414	6543013	16.804139	-2.12561	16:48:15N	2:07:32W	30QWD9317258094	NE30-15	L	LCTY		ML	08				N				AMELDARA	Amèl Dara	Amel Dara	AMELDARA	Amèl Dara	Amel Dara		2009-10-14	1,2,3,4	1			1993-09-01		
1	6331413	6543012	16.801369	-2.145991	16:48:05N	2:08:46W	30QWD9100257778	NE30-15	L	LCTY		ML	08				N				TINANECHAR	Ti-n-Anéchar	Ti-n-Anechar	TINANECHAR	Ti-n-Anéchar	Ti-n-Anechar		2009-10-14	1,2,3,4	1			1993-09-01		
1	6331419	6543018	16.66736	-2.025389	16:40:02N	2:01:31W	30QXD0392643011	NE30-15	L	LCTY		ML	08				N				AFADJI	Afadji	Afadji	AFADJI	Afadji	Afadji		2009-10-14	1,2,3,4	1			1993-09-01		
1	6331421	6543020	16.573433	-2.038092	16:34:24N	2:02:17W	30QXD0262132613	NE30-15	L	LCTY		ML	08				N				TINRALI	Ti-n-Rali	Ti-n-Rali	TINRALI	Ti-n-Rali	Ti-n-Rali		2009-10-14	1,2,3,4	1			1993-09-01		
1	6331425	6543024	16.430813	-2.050676	16:25:51N	2:03:02W	30QXD0135316828	NE30-15	L	LCTY		ML	08				N				IKARKARATEN	Ikarkaratèn	Ikarkaraten	IKARKARATEN	Ikarkaratèn	Ikarkaraten		2009-10-14	1,2,3,4	1			1993-09-01		
1	6331429	6543028	16.218064	-2.052684	16:13:05N	2:03:10W	30QXC0124893290	NE30-15	L	LCTY		ML	08				N				AROUGARKAAN	Arougarkaan	Arougarkaan	AROUGARKAAN	Arougarkaan	Arougarkaan		2009-10-14	1,2,3,4	1			1993-09-01		
1	6331430	6543029	16.243988	-2.124611	16:14:38N	2:07:29W	30QWC9354896124	NE30-15	L	LCTY		ML	08				N				IBITALA	Ibitala	Ibitala	IBITALA	Ibitala	Ibitala		2009-10-14	1,2,3,4	1			1993-09-01		
1	6331433	6543032	16.117285	-2.038139	16:07:02N	2:02:17W	30QXC0285582149	NE30-15	L	LCTY		ML	08				N				TINESSOKOUK	Ti-n-Essokouk	Ti-n-Essokouk	TINESSOKOUK	Ti-n-Essokouk	Ti-n-Essokouk		2009-10-14	1,2,3,4	1			1993-09-01		
3	6331435	6543035	15.998963	-2.01525	15:59:56N	2:00:55W	30PXC0536569070	ND30-03	L	LCTY		ML	08				N				TINABELBEL	Ti-n-Abelbèl	Ti-n-Abelbel	TINABELBEL	Ti-n-Abelbèl	Ti-n-Abelbel		2009-10-14	1,2,3,4	1			1993-09-01		
3	6331438	6543038	16.028906	-2.151573	16:01:44N	2:09:06W	30QWC9076472318	NE30-15	L	LCTY		ML	08				V				CHELBOULAKLAK	Chèl Boulaklak	Chel Boulaklak	CHELBOULAKLAK	Chèl Boulaklak	Chel Boulaklak		2009-10-14	1,2,3,4				2009-10-14		
3	6331438	11271062	16.028906	-2.151573	16:01:44N	2:09:06W	30QWC9076472318	NE30-15	L	LCTY		ML	08				N				CHETBOULAKLAK	Chèt Boulaklak	Chet Boulaklak	CHETBOULAKLAK	Chèt Boulaklak	Chet Boulaklak		2009-10-14	1,2,3,4	1			2009-10-14		
