RC	UFI	UNI	LAT	LONG	DMS_LAT	DMS_LONG	MGRS	JOG	FC	DSG	PC	CC1	ADM1	POP	ELEV	CC2	NT	LC	SHORT_FORM	GENERIC	SORT_NAME_RO	FULL_NAME_RO	FULL_NAME_ND_RO	SORT_NAME_RG	FULL_NAME_RG	FULL_NAME_ND_RG	NOTE	MODIFY_DATE	DISPLAY	NAME_RANK	NAME_LINK	TRANSL_CD	NM_MODIFY_DATE	F_EFCTV_DT	F_TERM_DT
1	10066777	10251374	15.4273	3.0286	15:25:38N	3:01:43E	31PET0306905588	ND31-03	S	ASTR		ML	00			ML	N				DODYA	Dodya	Dodya	DODYA	Dodya	Dodya		2007-11-28	1,2,3,4	1			2007-11-28		
1	-1069157	-1587077	16.942056	-2.553417	16:56:31N	2:33:12W	30QWD4755173199	NE30-15	S	CMP		ML	08				V				INTEGUIA	I-n-Téguia	I-n-Teguia	INTEGUIA	I-n-Téguia	I-n-Teguia		2009-10-13	1,2,3,4,5,6,7,8,9				1993-09-01		
1	-1069157	-1587079	16.942056	-2.553417	16:56:31N	2:33:12W	30QWD4755173199	NE30-15	S	CMP		ML	08				N				INTEGUYA	I-n-Téguya	I-n-Teguya	INTEGUYA	I-n-Téguya	I-n-Teguya		2009-10-13	1,2,3,4,5,6,7,8,9	1			1993-09-01		
1	-1068141	-1585418	16.767036	-2.330361	16:46:01N	2:19:49W	30QWD7136753904	NE30-15	S	CMP		ML	08				V				GANTO	Ganto	Ganto	GANTO	Ganto	Ganto		2009-10-13	1,2,3,4,5				1993-09-01		
1	-1068141	-1585419	16.767036	-2.330361	16:46:01N	2:19:49W	30QWD7136753904	NE30-15	S	CMP		ML	08				N				GANTOU	Gantou	Gantou	GANTOU	Gantou	Gantou		2009-10-13	1,2,3,4,5	1			1993-09-01		
1	-1075957	-1596758	16.880046	-2.27874	16:52:48N	2:16:43W	30QWD7682466426	NE30-15	S	RUIN		ML	08				V				TINNATENE	Ti-n-Natène	Ti-n-Natene	TINNATENE	Ti-n-Natène	Ti-n-Natene		2009-10-13	1,2,3,4,5				1993-09-01		
1	-1075957	-1596757	16.880046	-2.27874	16:52:48N	2:16:43W	30QWD7682466426	NE30-15	S	RUIN		ML	08				N				TINNATEN	Ti-n-Natèn	Ti-n-Naten	TINNATEN	Ti-n-Natèn	Ti-n-Naten		2009-10-13	1,2,3,4,5	1			1993-09-01		
1	-1069677	-1587865	16.169582	-2.512953	16:10:10N	2:30:47W	30QWC5206687755	NE30-15	S	CMP		ML	08				N				KARAYGOUROU	Karaygourou	Karaygourou	KARAYGOUROU	Karaygourou	Karaygourou		2009-10-13	1,2,3,4,5	1			1993-09-01		
1	-1075902	-1596662	16.871982	-2.591194	16:52:19N	2:35:28W	30QWD4354465438	NE30-15	S	CMP		ML	08				N				TINFORAKA	Ti-n-Foraka	Ti-n-Foraka	TINFORAKA	Ti-n-Foraka	Ti-n-Foraka		2009-10-13	1,2,3,4,5	1			1993-09-01		
1	-1075902	-1596657	16.871982	-2.591194	16:52:19N	2:35:28W	30QWD4354465438	NE30-15	S	CMP		ML	08				V				TINFERRAKA	Tin Ferraka	Tin Ferraka	TINFERRAKA	Tin Ferraka	Tin Ferraka		2009-10-13	1,2,3,4,5				1993-09-01		
1	-1068172	-1585462	16.150981	-2.974962	16:09:04N	2:58:30W	30QWC0267785636	NE30-15	S	CMP		ML	08				N				GARE	Garé	Gare	GARE	Garé	Gare		2009-10-13	1,2,3,4,5	1			1993-09-01		
1	-1066308	-1582941	16.654963	-2.597635	16:39:18N	2:35:51W	30QWD4290741429	NE30-15	S	CMP		ML	08				N				DIANBOU	Dianbou	Dianbou	DIANBOU	Dianbou	Dianbou		2009-10-13	1,2,3,4,5	1			1993-09-01		
1	-1067342	-1584351	16.154323	-2.525361	16:09:16N	2:31:31W	30QWC5074486064	NE30-15	S	CMP		ML	08				N				ELMATALA	Elmatala	Elmatala	ELMATALA	Elmatala	Elmatala		2009-10-13	1,2,3,4,5	1			1993-09-01		
1	-1065159	-1581428	16.105761	-2.582703	16:06:21N	2:34:58W	30QWC4462480679	NE30-15	S	CMP		ML	08				V				BENEBANGUIA	Bené Banguia	Bene Banguia	BENEBANGUIA	Bené Banguia	Bene Banguia		2009-10-13	1,2,3,4,5				1993-09-01		
1	-1065159	-1581429	16.105761	-2.582703	16:06:21N	2:34:58W	30QWC4462480679	NE30-15	S	CMP		ML	08				N				BENEBANGUYA	Bené-Banguya	Bene-Banguya	BENEBANGUYA	Bené-Banguya	Bene-Banguya		2009-10-13	1,2,3,4,5	1			1993-09-01		
1	6331511	6543111	16.694734	-2.763351	16:41:41N	2:45:48W	30QWD2523045800	NE30-15	S	SHRN		ML	08				N				MARABOUTAHAMANAGUISSA	Marabout Ahaman Aguissa	Marabout Ahaman Aguissa	MARABOUTAHAMANAGUISSA	Marabout Ahaman Aguissa	Marabout Ahaman Aguissa		2009-10-14	1,2,3,4	1			1993-09-01		
1	-1070250	10834054	13.5781	-7.2678	13:34:41N	7:16:04W	29PPR8742301732	ND29-12	S	RUIN		ML	07				N				KOUATALA	Kouatala	Kouatala	KOUATALA	Kouatala	Kouatala		2008-11-12	1,2,3,4,5	1			2008-11-12		
1	-1070250	-1588629	13.5781	-7.2678	13:34:41N	7:16:04W	29PPR8742301732	ND29-12	S	RUIN		ML	07				V				KOITALA	Koïtala	Koitala	KOITALA	Koïtala	Koitala		2008-11-12	1,2,3,4,5				2008-11-12		
3	-1076388	-1597397	16.858056	-1.468333	16:51:29N	1:28:06W	30QXD6317464485	NE30-16	S	CMP		ML	08				N				TOUGOUSSEY	Tougoussey	Tougoussey	TOUGOUSSEY	Tougoussey	Tougoussey		2006-05-23	1,2,3,4,5,6,7,8,9	1			1993-09-01		
3	-1067366	-1584391	16.618889	-.051944	16:37:08N	0:03:07W	30QZD1454539711	NE30-16	S	CMP		ML	09				N				ENEDOKIRI	Ené Dokiri	Ene Dokiri	ENEDOKIRI	Ené Dokiri	Ene Dokiri		2006-05-24	1,2,3,4,5	1			1993-09-01		
3	-1075897	-1596651	16.729167	-.105833	16:43:45N	0:06:21W	30QZD0861451840	NE30-16	S	CMP		ML	09				N				TINFANDARHT	Ti-n-Fandarht	Ti-n-Fandarht	TINFANDARHT	Ti-n-Fandarht	Ti-n-Fandarht		2006-05-24	1,2,3,4,5	1			1993-09-01		
3	-1068844	-1586534	16.080278	.753056	16:04:49N	0:45:11E	31QBT5964079121	NE31-13	S	CMP		ML	09				N				INAOUTEL	I-n-Aoutèl	I-n-Aoutel	INAOUTEL	I-n-Aoutèl	I-n-Aoutel		2006-06-08	1,2,3,4,5	1			1993-09-01		
3	-1064040	-1579787	16.603611	.0375	16:36:13N	0:02:15E	31QAU8388838042	NE31-13	S	CMP		ML	09				N				AGOUA	Ag Oua	Ag Oua	AGOUA	Ag Oua	Ag Oua		2006-06-08	1,2,3,4,5	1			1993-09-01		
3	-1076146	-1597064	16.113056	-1.087778	16:06:47N	1:05:16W	30QYC0450982388	NE30-16	S	CMP		ML	08				N				TIRDOUT	Tirdout	Tirdout	TIRDOUT	Tirdout	Tirdout		2006-05-23	1,2,3,4,5,6,7,8,9	1			1993-09-01		
3	-1076146	-1595661	16.113056	-1.087778	16:06:47N	1:05:16W	30QYC0450982388	NE30-16	S	CMP		ML	08				V				TEDOUT	Tedout	Tedout	TEDOUT	Tedout	Tedout		2006-05-23	1,2,3,4,5,6,7,8,9				1993-09-01		
3	-1068784	-1586416	16.306111	.7175	16:18:22N	0:43:03E	31QBU5611204161	NE31-13	S	CMP		ML	09				N				IMENAS	Iménas	Imenas	IMENAS	Iménas	Imenas		2006-06-08	1,2,3,4,5	1			1993-09-01		
3	-1073941	-1593776	16.741944	.769167	16:44:31N	0:46:09E	31QBU6217052342	NE31-13	S	CMP		ML	09				N				SEMIT	Sémit	Semit	SEMIT	Sémit	Semit		2006-06-08	1,2,3,4,5	1			1993-09-01		
3	-1073941	-1593214	16.741944	.769167	16:44:31N	0:46:09E	31QBU6217052342	NE31-13	S	CMP		ML	09				V				SAMIT	Samit	Samit	SAMIT	Samit	Samit		2006-06-08	1,2,3,4,5				1993-09-01		
3	-1075774	-1596449	16.776667	.1975	16:46:36N	0:11:51E	31QBU0124256959	NE31-13	S	CMP		ML	09				N				TINARABOU	Ti-n-Arabou	Ti-n-Arabou	TINARABOU	Ti-n-Arabou	Ti-n-Arabou		2006-06-08	1,2,3,4,5	1			1993-09-01		
3	-1064193	-1580022	16.039167	.540833	16:02:21N	0:32:27E	31QBT3687274829	NE31-13	S	CMP		ML	09				N				AMAIDARAL	Amaïdaral	Amaidaral	AMAIDARAL	Amaïdaral	Amaidaral		2006-06-08	1,2,3,4,5	1			1993-09-01		
3	-1068920	-1586664	16.189444	.7825	16:11:22N	0:46:57E	31QBT6292191170	NE31-13	S	CMP		ML	09				N				INEDBES	I-n-Edbès	I-n-Edbes	INEDBES	I-n-Edbès	I-n-Edbes		2006-06-08	1,2,3,4,5	1			1993-09-01		
3	-1068913	-1586654	16.872222	.120278	16:52:20N	0:07:13E	31QAU9315867659	NE31-13	S	CMP		ML	09				N				INEBERIM	I-n-Eberim	I-n-Eberim	INEBERIM	I-n-Eberim	I-n-Eberim		2006-06-08	1,2,3,4,5	1			1993-09-01		
3	-1068123	-1585373	16.359444	.089167	16:21:34N	0:05:21E	31QAU8901510922	NE31-13	S	CMP		ML	09				V				GANABER	Ganaber	Ganaber	GANABER	Ganaber	Ganaber		2006-06-08	1,2,3,4,5				1993-09-01		
3	-1068123	-1585395	16.359444	.089167	16:21:34N	0:05:21E	31QAU8901510922	NE31-13	S	CMP		ML	09				N				GANGABER	Gangaber	Gangaber	GANGABER	Gangaber	Gangaber		2006-06-08	1,2,3,4,5	1			1993-09-01		
3	-1072986	-1592407	16.166667	.666667	16:10:00N	0:40:00E	31QBT5050288786	NE31-13	S	CMP		ML	00				N				OUASOUAS	Ouas Ouas	Ouas Ouas	OUASOUAS	Ouas Ouas	Ouas Ouas		1993-12-18	1,2,3,4,5	1			1993-09-01		
3	-1073696	-1593442	12.866667	-10.166667	12:52:00N	10:10:00W	29PLQ7341022678	ND29-14	S	RUIN		ML	00				N				SANTANSABA	Santansaba	Santansaba	SANTANSABA	Santansaba	Santansaba		1993-12-18	1,2,3,4,5	1			1993-09-01		
