RC	UFI	UNI	LAT	LONG	DMS_LAT	DMS_LONG	MGRS	JOG	FC	DSG	PC	CC1	ADM1	POP	ELEV	CC2	NT	LC	SHORT_FORM	GENERIC	SORT_NAME_RO	FULL_NAME_RO	FULL_NAME_ND_RO	SORT_NAME_RG	FULL_NAME_RG	FULL_NAME_ND_RG	NOTE	MODIFY_DATE	DISPLAY	NAME_RANK	NAME_LINK	TRANSL_CD	NM_MODIFY_DATE	F_EFCTV_DT	F_TERM_DT
3	11848390	14437776	16.182768	-1.393102	16:10:58N	1:23:35W	30QXC7178789824	NE30-16	A	ADM2		ML	08				N		Gourma Rharous	Cercle	CERCLEDEGOURMARHAROUS	Cercle de Gourma Rharous	Cercle de Gourma Rharous	GOURMARHAROUS CERCLEDE	Gourma Rharous, Cercle de	Gourma Rharous, Cercle de		2013-09-26	1,2,3,4,5,6,7,8,9	2			2013-09-26		
3	11848390	14437777	16.182768	-1.393102	16:10:58N	1:23:35W	30QXC7178789824	NE30-16	A	ADM2		ML	08				N				GOURMARHAROUS	Gourma Rharous	Gourma Rharous	GOURMARHAROUS	Gourma Rharous	Gourma Rharous		2013-09-26	1,2,3,4,5,6,7,8,9	1			2013-09-26		
3	11848391	14437778	21.067476	-3.183171	21:04:03N	3:10:59W	30QVJ8097229626	NF30-10	A	ADM2		ML	08				N		Tombouctou	Cercle	CERCLEDETOMBOUCTOU	Cercle de Tombouctou	Cercle de Tombouctou	TOMBOUCTOU CERCLEDE	Tombouctou, Cercle de	Tombouctou, Cercle de		2013-09-26	1,2,3,4,5,6,7,8,9	2			2013-09-26		
3	11848391	14437779	21.067476	-3.183171	21:04:03N	3:10:59W	30QVJ8097229626	NF30-10	A	ADM2		ML	08				N				TOMBOUCTOU	Tombouctou	Tombouctou	TOMBOUCTOU	Tombouctou	Tombouctou		2013-09-26	1,2,3,4,5,6,7,8,9	1			2013-09-26		
3	11848392	14437780	17.711923	-.34284	17:42:43N	0:20:34W	30QYE8183060303	NE30-12	A	ADM2		ML	09				N		Bourem	Cercle	CERCLEDEBOUREM	Cercle de Bourem	Cercle de Bourem	BOUREM CERCLEDE	Bourem, Cercle de	Bourem, Cercle de		2013-09-26	1,2,3,4,5,6,7,8,9	2			2013-09-26		
3	11848392	14437781	17.711923	-.34284	17:42:43N	0:20:34W	30QYE8183060303	NE30-12	A	ADM2		ML	09				N				BOUREM	Bourem	Bourem	BOUREM	Bourem	Bourem		2013-09-26	1,2,3,4,5,6,7,8,9	1			2013-09-26		
3	11848393	14437782	16.688083	.489443	16:41:17N	0:29:22E	31QBU3225846735	NE31-13	A	ADM2		ML	09				N		Gao	Cercle	CERCLEDEGAO	Cercle de Gao	Cercle de Gao	GAO CERCLEDE	Gao, Cercle de	Gao, Cercle de		2013-09-26	1,2,3,4,5,6,7,8,9	2			2013-09-26		
3	11848393	14437783	16.688083	.489443	16:41:17N	0:29:22E	31QBU3225846735	NE31-13	A	ADM2		ML	09				N				GAO	Gao	Gao	GAO	Gao	Gao		2013-09-26	1,2,3,4,5,6,7,8,9	1			2013-09-26		
3	11848394	14437786	15.736902	.780081	15:44:13N	0:46:48E	31PBT6212841084	ND31-01	A	ADM2		ML	09				N		Ansango	Cercle	CERCLEDANSANGO	Cercle d’Ansango	Cercle d'Ansango	ANSANGO CERCLED	Ansango, Cercle d’	Ansango, Cercle d'		2013-09-26	1,2,3,4,5,6,7,8,9	2			2013-09-26		
3	11848394	14437787	15.736902	.780081	15:44:13N	0:46:48E	31PBT6212841084	ND31-01	A	ADM2		ML	09				N				ANSANGO	Ansango	Ansango	ANSANGO	Ansango	Ansango		2013-09-26	1,2,3,4,5,6,7,8,9	1			2013-09-26		
